#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
9736,30686016,BVC23_gt04,BVC23_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686017,BVC23_gt07,BVC23_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686018,BVC23_gt12,BVC23_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686019,BVC23_gt14,BVC23_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686020,ATP6,BVC23_gp08,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170407,-
9736,30686021,COX3,BVC23_gp07,COIII,-,MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20171208,-
9736,30686022,BVC23_gt15,BVC23_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686023,BVC23_gt16,BVC23_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686024,ND4,BVC23_gp04,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170407,-
9736,30686025,BVC23_gt17,BVC23_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686026,ND6,BVC23_gp02,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20180331,-
9736,30686027,BVC23_gt20,BVC23_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686028,BVC23_gt21,BVC23_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686029,BVC23_gt01,BVC23_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686030,BVC23_gr02,BVC23_gr02,-,-,MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20161228,-
9736,30686031,BVC23_gt02,BVC23_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686032,BVC23_gr01,BVC23_gr01,-,-,MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20161228,-
9736,30686033,BVC23_gt03,BVC23_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686034,ND1,BVC23_gp13,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170407,-
9736,30686035,BVC23_gt05,BVC23_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686036,BVC23_gt06,BVC23_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686037,ND2,BVC23_gp12,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170407,-
9736,30686038,BVC23_gt08,BVC23_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686039,BVC23_gt09,BVC23_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686040,BVC23_gt10,BVC23_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686041,BVC23_gt11,BVC23_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686042,COX1,BVC23_gp11,COI,-,MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170407,-
9736,30686043,BVC23_gt13,BVC23_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686044,COX2,BVC23_gp10,COII,-,MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170407,-
9736,30686045,ATP8,BVC23_gp09,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20171208,-
9736,30686046,ND3,BVC23_gp06,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170407,-
9736,30686047,ND4L,BVC23_gp05,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170407,-
9736,30686048,BVC23_gt18,BVC23_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686049,BVC23_gt19,BVC23_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
9736,30686050,ND5,BVC23_gp03,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170407,-
9736,30686051,CYTB,BVC23_gp01,-,-,MT,-,cytochrome b,protein-coding,-,-,-,-,20170407,-
9736,30686052,BVC23_gt22,BVC23_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161228,-
