#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034111,40233659,2,FGG27_gp002,LITTLEE_2,-,-,-,enoyl-CoA-hydratase,protein-coding,-,-,-,enoyl-CoA-hydratase,20200909,-
1034111,40233660,3,FGG27_gp003,LITTLEE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233661,4,FGG27_gp004,LITTLEE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233662,5,FGG27_gp005,LITTLEE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233663,6,FGG27_gp006,LITTLEE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233664,7,FGG27_gp007,LITTLEE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233665,8,FGG27_gp008,LITTLEE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233666,9,FGG27_gp009,LITTLEE_9,-,-,-,terminase,protein-coding,-,-,-,terminase,20200909,-
1034111,40233667,10,FGG27_gp010,LITTLEE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233668,11,FGG27_gp011,LITTLEE_11,-,-,-,portal,protein-coding,-,-,-,portal,20200909,-
1034111,40233669,12,FGG27_gp012,LITTLEE_12,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200909,-
1034111,40233670,13,FGG27_gp013,LITTLEE_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200909,-
1034111,40233671,14,FGG27_gp014,LITTLEE_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200909,-
1034111,40233672,15,FGG27_gp015,LITTLEE_15,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200909,-
1034111,40233673,16,FGG27_gp016,LITTLEE_16,-,-,-,Ser/Thr kinase domain protein,protein-coding,-,-,-,Ser/Thr kinase domain protein,20200909,-
1034111,40233674,17,FGG27_gp017,LITTLEE_17,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200909,-
1034111,40233675,18,FGG27_gp018,LITTLEE_18,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20200909,-
1034111,40233676,19,FGG27_gp019,LITTLEE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233677,20,FGG27_gp020,LITTLEE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233678,21,FGG27_gp021,LITTLEE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233679,22,FGG27_gp022,LITTLEE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233680,23,FGG27_gp023,LITTLEE_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200909,-
1034111,40233681,24,FGG27_gp024,LITTLEE_24,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200909,-
1034111,40233682,25,FGG27_gp025,LITTLEE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034111,40233683,26,FGG27_gp026,LITTLEE_26,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200909,-
