#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10381,1488256,DHFR,SaHV2gp02,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20180815,-
10381,1488257,IE-G,SaHV2gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1488258,mCCPH,SaHV2gp05,-,-,-,-,complement control protein homologue,protein-coding,-,-,-,complement control protein homologue,20180815,-
10381,1488259,sCCPH,SaHV2gp04,-,-,-,-,complement control protein homologue,protein-coding,-,-,-,complement control protein homologue,20180815,-
10381,1488260,STP-A11,SaHV2gp01,-,-,-,-,saimiri transformation-associated protein,protein-coding,-,-,-,saimiri transformation-associated protein,20180815,-
10381,1488261,TK,SaHV2gp22,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20180815,-
10381,1682452,SaHV2gp48,SaHV2gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682453,SaHV2gp39,SaHV2gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682454,SaHV2gp25,SaHV2gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682455,SaHV2gp24,SaHV2gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682456,SaHV2gp07,SaHV2gp07,-,-,-,-,major ssDNA-binding protein,protein-coding,-,-,-,major ssDNA-binding protein,20180815,-
10381,1682457,SaHV2gp70,SaHV2gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682458,SaHV2gp40,SaHV2gp40,-,-,-,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20180815,-
10381,1682459,SaHV2gp53,SaHV2gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682460,SaHV2gp62,SaHV2gp62,-,-,-,-,"ribonucleotide reductase, large subunit",protein-coding,-,-,-,"ribonucleotide reductase, large subunit",20180815,-
10381,1682461,SaHV2gp63,SaHV2gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682462,SaHV2gp20,SaHV2gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682463,SaHV2gp34,SaHV2gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682464,SaHV2gp69,SaHV2gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682465,SaHV2gp27,SaHV2gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682466,SaHV2gp51,SaHV2gp51,-,-,-,-,HVS.R transactivator,protein-coding,-,-,-,HVS.R transactivator,20180815,-
10381,1682467,SaHV2gp75,SaHV2gp75,-,-,-,-,G protein-coupled receptor homologue,protein-coding,-,-,-,G protein-coupled receptor homologue,20180815,-
10381,1682468,SaHV2gp65,SaHV2gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682469,SaHV2gp49,SaHV2gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682470,SaHV2gp52,SaHV2gp52,-,-,-,-,glycoprotein,protein-coding,-,-,-,glycoprotein,20180815,-
10381,1682471,SaHV2gp35,SaHV2gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682472,SaHV2gp23,SaHV2gp23,-,-,-,-,glycoprotein H,protein-coding,-,-,-,glycoprotein H,20180815,-
10381,1682473,SaHV2gp28,SaHV2gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682474,SaHV2gp59,SaHV2gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682475,SaHV2gp36,SaHV2gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682476,SaHV2gp14,SaHV2gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682477,SaHV2gp56,SaHV2gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682478,SaHV2gp64,SaHV2gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682479,SaHV2gp73,SaHV2gp73,-,-,-,-,cyclin homologue,protein-coding,-,-,-,cyclin homologue,20180815,-
10381,1682480,SaHV2gp50,SaHV2gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682481,SaHV2gp68,SaHV2gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682482,SaHV2gp71,SaHV2gp71,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20180815,-
10381,1682483,SaHV2gp37,SaHV2gp37,-,-,-,-,tyrosine-specific protein kinase,protein-coding,-,-,-,tyrosine-specific protein kinase,20180815,-
10381,1682484,SaHV2gp19,SaHV2gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682485,SaHV2gp57,SaHV2gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682486,SaHV2gp45,SaHV2gp45,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
10381,1682487,SaHV2gp60,SaHV2gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682488,SaHV2gp30,SaHV2gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682489,SaHV2gp47,SaHV2gp47,-,-,-,-,uracil DNA glucosidase,protein-coding,-,-,-,uracil DNA glucosidase,20180815,-
10381,1682490,SaHV2gp41,SaHV2gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682491,SaHV2gp54,SaHV2gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682492,SaHV2gp06,SaHV2gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682493,SaHV2gp33,SaHV2gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682494,SaHV2gp08,SaHV2gp08,-,-,-,-,transport protein,protein-coding,-,-,-,transport protein,20180815,-
10381,1682495,SaHV2gp46,SaHV2gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682496,SaHV2gp43,SaHV2gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682497,SaHV2gp31,SaHV2gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682498,SaHV2gp18,SaHV2gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682499,SaHV2gp67,SaHV2gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682500,SaHV2gp38,SaHV2gp38,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180815,-
10381,1682501,SaHV2gp11,SaHV2gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682502,SaHV2gp21,SaHV2gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682503,SaHV2gp03,SaHV2gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682504,SaHV2gp29,SaHV2gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682505,SaHV2gp13,SaHV2gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682506,SaHV2gp16,SaHV2gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682507,SaHV2gp66,SaHV2gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682508,SaHV2gp76,SaHV2gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682509,SaHV2gp61,SaHV2gp61,-,-,-,-,"ribonucleotide reductase, small subunit",protein-coding,-,-,-,"ribonucleotide reductase, small subunit",20180815,-
10381,1682510,SaHV2gp72,SaHV2gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682511,SaHV2gp32,SaHV2gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682512,SaHV2gp17,SaHV2gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682513,SaHV2gp44,SaHV2gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682514,SaHV2gp12,SaHV2gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682515,SaHV2gp55,SaHV2gp55,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20180815,-
10381,1682516,SaHV2gp74,SaHV2gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682517,SaHV2gp42,SaHV2gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682518,SaHV2gp26,SaHV2gp26,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20180815,-
10381,1682519,SaHV2gp10,SaHV2gp10,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
10381,1682520,SaHV2gp58,SaHV2gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10381,1682521,SaHV2gp09,SaHV2gp09,-,-,-,-,glycoprotein B,protein-coding,-,-,-,glycoprotein B,20180815,-
