#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10756,2828481,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage phi-29; Bacillus phage phi29; Bacillus subtilis phage phi29; Bacteriophage phi-29; phage phi-29).,other,-,-,-,-,20210609,-
10756,6446499,12,phi29_gp12,-,-,-,-,preneck appendage protein,protein-coding,-,-,-,preneck appendage protein,20201220,-
10756,6446500,0.4,phi29_gp0.4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10756,6446501,1,phi29_gp1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10756,6446502,16.8,phi29_gp16.8,-,-,-,-,hypothetical early protein,protein-coding,-,-,-,hypothetical early protein,20201220,-
10756,6446503,0.8,phi29_gp0.8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10756,6446504,0.6,phi29_gp0.6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10756,6446505,16.6,phi29_gp16.6,-,-,-,-,hypothetical early protein,protein-coding,-,-,-,hypothetical early protein,20201220,-
10756,6446506,13,phi29_gp13,-,-,-,-,morphogenesis protein,protein-coding,-,-,-,morphogenesis protein,20201220,-
10756,6446507,9,phi29_gp9,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
10756,6446508,11,phi29_gp11,-,-,-,-,lower collar protein,protein-coding,-,-,-,lower collar protein,20201220,-
10756,6446509,6,phi29_gp6,-,-,-,-,dsDNA binding protein,protein-coding,-,-,-,dsDNA binding protein,20201220,-
10756,6446510,8,phi29_gp8,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201220,-
10756,6446511,2,phi29_gp2,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
10756,6446512,8.5,phi29_gp8.5,-,-,-,-,head fiber protein,protein-coding,-,-,-,head fiber protein,20201220,-
10756,6446513,0.2,phi29_gp0.2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10756,6446514,3,phi29_gp3,-,-,-,-,terminal protein,protein-coding,-,-,-,terminal protein,20201220,-
10756,6446515,16.9,phi29_gp16.9,-,-,-,-,hypothetical early protein,protein-coding,-,-,-,hypothetical early protein,20201220,-
10756,6446516,16,phi29_gp16,-,-,-,-,DNA encapsidation protein,protein-coding,-,-,-,DNA encapsidation protein,20210417,-
10756,6446517,16.7,phi29_gp16.7,-,-,-,-,hypothetical early protein,protein-coding,-,-,-,hypothetical early protein,20201220,-
10756,6446518,10,phi29_gp10,-,-,-,-,upper collar protein,protein-coding,-,-,-,upper collar protein,20201220,-
10756,6446519,14,phi29_gp14,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
10756,6446520,15,phi29_gp15,-,-,-,-,peptidoglycan hydrolase,protein-coding,-,-,-,peptidoglycan hydrolase,20201220,-
10756,6446521,17,phi29_gp17,-,-,-,-,hypothetical early protein,protein-coding,-,-,-,hypothetical early protein,20201220,-
10756,6446522,5,phi29_gp5,-,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210417,-
10756,6446523,4,phi29_gp4,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210417,-
10756,6446524,5.5,phi29_gp5.5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10756,6446525,7,phi29_gp7,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
