#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1076759,24366386,phiVC8_p02,phiVC8_p02,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1076759,24366387,phiVC8_p03,phiVC8_p03,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1076759,24366388,phiVC8_p04,phiVC8_p04,-,-,-,-,head to tail connecting protein,protein-coding,-,-,-,head to tail connecting protein,20201220,-
1076759,24366389,phiVC8_p05,phiVC8_p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366390,phiVC8_p06,phiVC8_p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366391,phiVC8_p07,phiVC8_p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366392,phiVC8_p08,phiVC8_p08,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1076759,24366393,phiVC8_p09,phiVC8_p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366394,phiVC8_p10,phiVC8_p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366395,phiVC8_p11,phiVC8_p11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366396,phiVC8_p12,phiVC8_p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366397,phiVC8_p13,phiVC8_p13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366398,phiVC8_p14,phiVC8_p14,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201220,-
1076759,24366399,phiVC8_p15,phiVC8_p15,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1076759,24366400,phiVC8_p16,phiVC8_p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366401,phiVC8_p17,phiVC8_p17,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1076759,24366402,phiVC8_p18,phiVC8_p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366403,phiVC8_p19,phiVC8_p19,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1076759,24366404,phiVC8_p20,phiVC8_p20,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201220,-
1076759,24366405,phiVC8_p21,phiVC8_p21,-,-,-,-,outer capsid protein,protein-coding,-,-,-,outer capsid protein,20201220,-
1076759,24366406,phiVC8_p22,phiVC8_p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366407,phiVC8_p23,phiVC8_p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366408,phiVC8_p24,phiVC8_p24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366409,phiVC8_p25,phiVC8_p25,-,-,-,-,metal dependent phosphohydrolase,protein-coding,-,-,-,metal dependent phosphohydrolase,20201220,-
1076759,24366410,phiVC8_p26,phiVC8_p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366411,phiVC8_p27,phiVC8_p27,-,-,-,-,adenylosuccinate synthetase,protein-coding,-,-,-,adenylosuccinate synthetase,20201220,-
1076759,24366412,phiVC8_p28,phiVC8_p28,-,-,-,-,Integrase,protein-coding,-,-,-,Integrase,20201220,-
1076759,24366413,phiVC8_p29,phiVC8_p29,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1076759,24366414,phiVC8_p30,phiVC8_p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366415,phiVC8_p31,phiVC8_p31,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201220,-
1076759,24366416,phiVC8_p32,phiVC8_p32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366417,phiVC8_p33,phiVC8_p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366418,phiVC8_p34,phiVC8_p34,-,-,-,-,superfamily II DNA/RNA helicase,protein-coding,-,-,-,superfamily II DNA/RNA helicase,20201220,-
1076759,24366419,phiVC8_p35,phiVC8_p35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366420,phiVC8_p36,phiVC8_p36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366421,phiVC8_p37,phiVC8_p37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366422,phiVC8_p38,phiVC8_p38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366423,phiVC8_p39,phiVC8_p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366424,phiVC8_p40,phiVC8_p40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366425,phiVC8_p41,phiVC8_p41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366426,phiVC8_p42,phiVC8_p42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366427,phiVC8_p43,phiVC8_p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366428,phiVC8_p45,phiVC8_p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366429,phiVC8_p46,phiVC8_p46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366430,phiVC8_p44,phiVC8_p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366431,phiVC8_p47,phiVC8_p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366432,phiVC8_p48,phiVC8_p48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24366433,phiVC8_p01,phiVC8_p01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1076759,24420040,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
