#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089119,18559274,2,CM09_gp002,COURTHOUSE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1089119,18559275,3,CM09_gp003,COURTHOUSE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559276,4,CM09_gp004,COURTHOUSE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559277,5,CM09_gp005,COURTHOUSE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559278,6,CM09_gp006,COURTHOUSE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559279,7,CM09_gp007,COURTHOUSE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559280,8,CM09_gp008,COURTHOUSE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559281,9,CM09_gp009,COURTHOUSE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559282,10,CM09_gp010,COURTHOUSE_10,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1089119,18559283,11,CM09_gp011,COURTHOUSE_11,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201010,-
1089119,18559284,12,CM09_gp012,COURTHOUSE_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1089119,18559285,13,CM09_gp013,COURTHOUSE_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
1089119,18559286,14,CM09_gp014,COURTHOUSE_14,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1089119,18559287,15,CM09_gp015,COURTHOUSE_15,-,-,-,O-methyltransferase,protein-coding,-,-,-,O-methyltransferase,20210424,-
1089119,18559288,16,CM09_gp016,COURTHOUSE_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559289,17,CM09_gp017,COURTHOUSE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1089119,18559290,18,CM09_gp018,COURTHOUSE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559291,19,CM09_gp019,COURTHOUSE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559292,20,CM09_gp020,COURTHOUSE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559293,21,CM09_gp021,COURTHOUSE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559294,22,CM09_gp022,COURTHOUSE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559295,23,CM09_gp023,COURTHOUSE_23,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1089119,18559296,24,CM09_gp024,COURTHOUSE_24,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1089119,18559297,25,CM09_gp025,COURTHOUSE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089119,18559298,26,CM09_gp026,COURTHOUSE_26,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1089119,18559299,27,CM09_gp027,COURTHOUSE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
