#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089137,18989799,2,STINGER_2,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201220,-
1089137,18989800,3,STINGER_3,-,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201220,-
1089137,18989801,4,STINGER_4,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1089137,18989802,5,STINGER_5,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201220,-
1089137,18989803,6,STINGER_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989804,7,STINGER_7,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1089137,18989805,8,STINGER_8,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201220,-
1089137,18989806,9,STINGER_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989807,10,STINGER_10,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1089137,18989808,11,STINGER_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989809,12,STINGER_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989810,13,STINGER_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989811,14,STINGER_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989812,15,STINGER_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989813,16,STINGER_16,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1089137,18989814,17,STINGER_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989815,18,STINGER_18,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1089137,18989816,19,STINGER_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989817,20,STINGER_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989818,21,STINGER_21,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1089137,18989819,22,STINGER_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989820,23,STINGER_23,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
1089137,18989821,24,STINGER_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089137,18989822,25,STINGER_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089137,18989823,26,STINGER_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089137,18989824,27,STINGER_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089137,18989825,28,STINGER_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1089137,18989826,29,STINGER_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989827,30,STINGER_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989828,31,STINGER_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989829,32,STINGER_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989830,33,STINGER_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989831,34,STINGER_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989832,35,STINGER_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989833,36,STINGER_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989834,37,STINGER_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989835,38,STINGER_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989836,39,STINGER_39,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201220,-
1089137,18989837,40,STINGER_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989838,41,STINGER_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989839,42,STINGER_42,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1089137,18989840,43,STINGER_43,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1089137,18989841,44,STINGER_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989842,45,STINGER_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989843,46,STINGER_46,-,-,-,-,type III restriction helicase,protein-coding,-,-,-,type III restriction helicase,20201220,-
1089137,18989844,47,STINGER_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989845,48,STINGER_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989846,49,STINGER_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989847,50,STINGER_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989848,51,STINGER_51,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201220,-
1089137,18989849,52,STINGER_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989850,53,STINGER_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989851,54,STINGER_54,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1089137,18989852,55,STINGER_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989853,56,STINGER_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989854,57,STINGER_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989855,58,STINGER_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989856,59,STINGER_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989857,60,STINGER_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989858,61,STINGER_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989859,62,STINGER_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989860,64,STINGER_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989861,65,STINGER_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989862,66,STINGER_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989863,67,STINGER_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989864,68,STINGER_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989865,69,STINGER_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989866,70,STINGER_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989867,71,STINGER_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989868,72,STINGER_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989869,73,STINGER_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989870,74,STINGER_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989871,75,STINGER_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989872,76,STINGER_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089137,18989873,77,STINGER_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
