#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
111874,2846264,vp1054,NeseNPV_gp85,-,-,-,-,viral protein 1054,protein-coding,-,-,-,viral protein 1054,20180815,-
111874,2846265,lef-8,NeseNPV_gp81,-,-,-,-,late expression factor-8,protein-coding,-,-,-,late expression factor-8,20180815,-
111874,2846266,pif,NeseNPV_gp79,-,-,-,-,per-os infectivity factor,protein-coding,-,-,-,per-os infectivity factor,20180815,-
111874,2846267,lef-1,NeseNPV_gp68,-,-,-,-,late expression factor 1,protein-coding,-,-,-,late expression factor 1,20180815,-
111874,2846268,odv-ec27,NeseNPV_gp66,-,-,-,-,occlusion-derived envelope protein e27,protein-coding,-,-,-,occlusion-derived envelope protein e27|odv-ec27; odv-e27,20180815,-
111874,2846269,odv-e18,NeseNPV_gp65,-,-,-,-,occlusion-derived envelope protein e18,protein-coding,-,-,-,occlusion-derived envelope protein e18,20180815,-
111874,2846270,lef-4,NeseNPV_gp62,-,-,-,-,late expression factor 4,protein-coding,-,-,-,late expression factor 4,20180815,-
111874,2846271,38K,NeseNPV_gp59,-,-,-,-,38K,protein-coding,-,-,-,38K,20180815,-
111874,2846272,lef-5,NeseNPV_gp58,-,-,-,-,late expression factor 5,protein-coding,-,-,-,late expression factor 5,20180815,-
111874,2846273,lef-2,NeseNPV_gp57,-,-,-,-,late expression factor 2,protein-coding,-,-,-,late expression factor 2,20180815,-
111874,2846274,pif-2,NeseNPV_gp55,-,-,-,-,per-os infectivity factor 2,protein-coding,-,-,-,per-os infectivity factor 2,20180815,-
111874,2846275,p74,NeseNPV_gp50,-,-,-,-,P74,protein-coding,-,-,-,P74,20180815,-
111874,2846276,p47,NeseNPV_gp49,-,-,-,-,P47,protein-coding,-,-,-,P47,20180815,-
111874,2846277,vlf-1,NeseNPV_gp45,-,-,-,-,very late factor 1,protein-coding,-,-,-,very late factor 1,20180815,-
111874,2846278,lef-9,NeseNPV_gp40,-,-,-,-,late expression factor 9,protein-coding,-,-,-,late expression factor 9,20180815,-
111874,2846279,p45,NeseNPV_gp33,-,-,-,-,P45,protein-coding,-,-,-,P45,20180815,-
111874,2846280,odv-e56,NeseNPV_gp38,-,-,-,-,occlusion-derived virus envelope protein 56,protein-coding,-,-,-,occlusion-derived virus envelope protein 56,20180815,-
111874,2846281,pol,NeseNPV_gp28,-,-,-,-,dnapol,protein-coding,-,-,-,DNA polymerase,20180815,-
111874,2846282,lef-11,NeseNPV_gp23,-,-,-,-,late expression factor 11,protein-coding,-,-,-,late expression factor 11,20180815,-
111874,2846283,dbp,NeseNPV_gp22,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20180815,-
111874,2846284,iap,NeseNPV_gp17,-,-,-,-,iap,protein-coding,-,-,-,iap|inhibitor of apoptosis,20180815,-
111874,2846285,vp91,NeseNPV_gp84,-,-,-,-,viral capsid protein 91,protein-coding,-,-,-,viral capsid protein 91|vp91 capsid,20180815,-
111874,2846286,polh,NeseNPV_gp01,-,-,-,-,polh,protein-coding,-,-,-,polh|polyhedrin,20180815,-
111874,2846287,alk-exo,NeseNPV_gp31,-,-,-,-,alk-exo,protein-coding,-,-,-,alk-exo|alkaline exonuclease,20180815,-
111874,2846288,p33,NeseNPV_gp24,-,-,-,-,p33,protein-coding,-,-,-,p33,20180815,-
111874,2846289,mtase1,NeseNPV_gp05,-,-,-,-,methyltransferase 1,protein-coding,-,-,-,methyltransferase 1,20180815,-
111874,2846290,gp41,NeseNPV_gp47,-,-,-,-,glycoprotein 41,protein-coding,-,-,-,glycoprotein 41,20180815,-
111874,2846291,vp39,NeseNPV_gp89,-,-,-,-,viral capsid protein 39,protein-coding,-,-,-,viral capsid protein 39,20180815,-
111874,2846292,p6.9,NeseNPV_gp36,-,-,-,-,P6.9,protein-coding,-,-,-,P6.9,20180815,-
111874,2846293,p40,NeseNPV_gp35,-,-,-,-,P40,protein-coding,-,-,-,P40,20180815,-
111874,3293437,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Neodiprion sertifer NPV).,other,-,-,-,-,20210531,-
111874,7871735,NeseNPV_gp02,NeseNPV_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871736,NeseNPV_gp18,NeseNPV_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871737,NeseNPV_gp29,NeseNPV_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871738,NeseNPV_gp32,NeseNPV_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871739,NeseNPV_gp34,NeseNPV_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871740,NeseNPV_gp37,NeseNPV_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871741,NeseNPV_gp39,NeseNPV_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871742,NeseNPV_gp41,NeseNPV_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871743,NeseNPV_gp46,NeseNPV_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871744,NeseNPV_gp51,NeseNPV_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871745,NeseNPV_gp56,NeseNPV_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871746,NeseNPV_gp60,NeseNPV_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871747,NeseNPV_gp63,NeseNPV_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871748,NeseNPV_gp67,NeseNPV_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871749,NeseNPV_gp69,NeseNPV_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871750,NeseNPV_gp80,NeseNPV_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871751,NeseNPV_gp82,NeseNPV_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871752,NeseNPV_gp86,NeseNPV_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871753,NeseNPV_gp90,NeseNPV_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871754,NeseNPV_gp48,NeseNPV_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871755,NeseNPV_gp06,NeseNPV_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871756,NeseNPV_gp25,NeseNPV_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871757,NeseNPV_gp03,NeseNPV_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871758,NeseNPV_gp04,NeseNPV_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871759,NeseNPV_gp07,NeseNPV_gp07,-,-,-,-,trypsin-like protein,protein-coding,-,-,-,trypsin-like protein,20180815,-
111874,7871760,NeseNPV_gp08,NeseNPV_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871761,NeseNPV_gp09,NeseNPV_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871762,NeseNPV_gp10,NeseNPV_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871763,NeseNPV_gp11,NeseNPV_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871764,NeseNPV_gp12,NeseNPV_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871765,NeseNPV_gp13,NeseNPV_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871766,NeseNPV_gp14,NeseNPV_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871767,NeseNPV_gp15,NeseNPV_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871768,NeseNPV_gp16,NeseNPV_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871769,NeseNPV_gp19,NeseNPV_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871770,NeseNPV_gp20,NeseNPV_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871771,NeseNPV_gp21,NeseNPV_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871772,NeseNPV_gp26,NeseNPV_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871773,NeseNPV_gp27,NeseNPV_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871774,NeseNPV_gp30,NeseNPV_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871775,NeseNPV_gp42,NeseNPV_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871776,NeseNPV_gp43,NeseNPV_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871777,NeseNPV_gp44,NeseNPV_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871778,NeseNPV_gp52,NeseNPV_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871779,NeseNPV_gp53,NeseNPV_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871780,NeseNPV_gp54,NeseNPV_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871781,NeseNPV_gp61,NeseNPV_gp61,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
111874,7871782,NeseNPV_gp64,NeseNPV_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871783,NeseNPV_gp70,NeseNPV_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871784,NeseNPV_gp71,NeseNPV_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
111874,7871785,NeseNPV_gp72,NeseNPV_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
