#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1129191,14250431,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Klebsiella bacteriophage KP36; Klebsiella pneumoniae bacteriophage KP36).,other,-,-,-,-,20200513,-
1129191,26797013,AXI63_gp02,AXI63_gp02,KP36_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797014,AXI63_gp03,AXI63_gp03,KP36_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797015,AXI63_gp04,AXI63_gp04,KP36_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797016,AXI63_gp05,AXI63_gp05,KP36_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797017,AXI63_gp06,AXI63_gp06,KP36_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797018,AXI63_gp07,AXI63_gp07,KP36_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797019,AXI63_gp08,AXI63_gp08,KP36_07A,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797020,AXI63_gp09,AXI63_gp09,KP36_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797021,AXI63_gp10,AXI63_gp10,KP36_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797022,AXI63_gp11,AXI63_gp11,KP36_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797023,AXI63_gp12,AXI63_gp12,KP36_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797024,AXI63_gp13,AXI63_gp13,KP36_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797025,AXI63_gp14,AXI63_gp14,KP36_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797026,AXI63_gp15,AXI63_gp15,KP36_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797027,AXI63_gp16,AXI63_gp16,KP36_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797028,AXI63_gp17,AXI63_gp17,KP36_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797029,AXI63_gp18,AXI63_gp18,KP36_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797030,AXI63_gp19,AXI63_gp19,KP36_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797031,AXI63_gp20,AXI63_gp20,KP36_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797032,AXI63_gp21,AXI63_gp21,KP36_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797033,AXI63_gp22,AXI63_gp22,KP36_021,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20201221,-
1129191,26797034,AXI63_gp23,AXI63_gp23,KP36_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797035,AXI63_gp24,AXI63_gp24,KP36_023,-,-,-,Eaa-like protein,protein-coding,-,-,-,Eaa-like protein,20201221,-
1129191,26797036,AXI63_gp25,AXI63_gp25,KP36_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797037,AXI63_gp26,AXI63_gp26,KP36_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797038,AXI63_gp27,AXI63_gp27,KP36_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797039,AXI63_gp28,AXI63_gp28,KP36_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129191,26797040,AXI63_gp29,AXI63_gp29,KP36_028,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210406,-
