#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1131316,14698207,I920_gp02,I920_gp02,RcapNL_0002,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1131316,14698208,I920_gp03,I920_gp03,RcapNL_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698209,I920_gp04,I920_gp04,RcapNL_0004,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20200629,-
1131316,14698210,I920_gp05,I920_gp05,RcapNL_0005,-,-,-,HK97 family portal protein,protein-coding,-,-,-,HK97 family portal protein,20200629,-
1131316,14698211,I920_gp06,I920_gp06,RcapNL_0006,-,-,-,peptidase S49,protein-coding,-,-,-,peptidase S49,20200629,-
1131316,14698212,I920_gp07,I920_gp07,RcapNL_0007,-,-,-,HK97 family major capsid protein,protein-coding,-,-,-,HK97 family major capsid protein,20200629,-
1131316,14698213,I920_gp08,I920_gp08,RcapNL_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698214,I920_gp09,I920_gp09,RcapNL_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698215,I920_gp10,I920_gp10,RcapNL_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1131316,14698216,I920_gp11,I920_gp11,RcapNL_00011,-,-,-,phage head-tail adapter protein,protein-coding,-,-,-,phage head-tail adapter protein,20200905,-
1131316,14698217,I920_gp12,I920_gp12,RcapNL_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1131316,14698218,I920_gp13,I920_gp13,RcapNL_00013,-,-,-,phage HK97 gp10-like protein,protein-coding,-,-,-,phage HK97 gp10-like protein,20200629,-
