#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1131317,14011662,FV3_00002,FV3_00002,-,-,-,-,SleB,protein-coding,-,-,-,SleB,20200629,-
1131317,14011663,FV3_00003,FV3_00003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011664,FV3_00004,FV3_00004,-,-,-,-,MoxR ATPase,protein-coding,-,-,-,MoxR ATPase,20200629,-
1131317,14011665,FV3_00005,FV3_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011666,FV3_00006,FV3_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011667,FV3_00007,FV3_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011668,FV3_00008,FV3_00008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011669,FV3_00009,FV3_00009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011670,FV3_00010,FV3_00010,-,-,-,-,putative alpha 1-3 fucosyltransferase,protein-coding,-,-,-,putative alpha 1-3 fucosyltransferase,20200629,-
1131317,14011671,FV3_00011,FV3_00011,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20200629,-
1131317,14011672,FV3_00012,FV3_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011673,FV3_00013,FV3_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011674,FV3_00014,FV3_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011675,FV3_00015,FV3_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011676,FV3_00016,FV3_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011677,FV3_00017,FV3_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011678,FV3_00018,FV3_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011679,FV3_00019,FV3_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011680,FV3_00020,FV3_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011681,FV3_00021,FV3_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011682,FV3_00022,FV3_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011683,FV3_00023,FV3_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011684,FV3_00024,FV3_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011685,FV3_00025,FV3_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011686,FV3_00027,FV3_00027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011687,FV3_00028,FV3_00028,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1131317,14011688,FV3_00029,FV3_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011689,FV3_00030,FV3_00030,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1131317,14011690,FV3_00031,FV3_00031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011691,FV_00032,FV_00032,-,-,-,-,putative tail fiber assembly protein,protein-coding,-,-,-,putative tail fiber assembly protein,20210406,-
1131317,14011692,FV3_00033,FV3_00033,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1131317,14011693,FV3_00034,FV3_00034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011694,FV3_00035,FV3_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011695,FV3_00036,FV3_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011696,FV3_00037,FV3_00037,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1131317,14011697,FV3_00038,FV3_00038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011698,FV3_0039,FV3_0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011699,FV3_0040,FV3_0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011700,FV3_00041,FV3_00041,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1131317,14011701,FV3_00042,FV3_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011702,FV3_00043,FV3_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011703,FV3_00044,FV3_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011704,FV3_00045,FV3_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1131317,14011705,FV3_00046,FV3_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011706,FV3_00047,FV3_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011707,FV3_00048,FV3_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011708,FV3_00049,FV3_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011709,FV3_00050,FV3_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011710,FV3_00051,FV3_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011711,FV3_00052,FV3_00052,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210123,-
1131317,14011712,FV3_00053,FV3_00053,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1131317,14011713,FV3_00054,FV3_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011714,FV3_00055,FV3_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011715,FV3_00056,FV3_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011716,FV3_00057,FV3_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011717,FV3_00058,FV3_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011718,FV3_00059,FV3_00059,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20200629,-
1131317,14011719,FV3_00060,FV3_00060,-,-,-,-,head stabilization/decoration protein,protein-coding,-,-,-,head stabilization/decoration protein,20200629,-
1131317,14011720,FV3_00061,FV3_00061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011721,FV3_00062,FV3_00062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011722,FV3_00063,FV3_00063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011723,FV3_00064,FV3_00064,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
1131317,14011724,FV3_00065,FV3_00065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011725,FV3_00066,FV3_00066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011726,FV3_00067,FV3_00067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011727,FV3_gt001,FV3_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1131317,14011728,FV3_00069,FV3_00069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
