#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1137606,26312070,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20181022,-
1137606,39476199,DQM28_RS20110,DQM28_RS20110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1137606,39476205,DQM28_RS20620,DQM28_RS20620,DQM28_20890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1137606,39476208,DQM28_RS20605,DQM28_RS20605,DQM28_20875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
1137606,39476217,DQM28_RS20565,DQM28_RS20565,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1137606,39476241,DQM28_RS20435,DQM28_RS20435,DQM28_20710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1137606,39476242,DQM28_RS20430,DQM28_RS20430,DQM28_20705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1137606,39476254,DQM28_RS20360,DQM28_RS20360,DQM28_20635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
1137606,39476257,DQM28_RS20345,DQM28_RS20345,DQM28_20620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
1137606,39476273,DQM28_RS20255,DQM28_RS20255,DQM28_20530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1137606,39476287,DQM28_RS20185,DQM28_RS20185,DQM28_20460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1137606,39476294,DQM28_RS20150,DQM28_RS20150,DQM28_20425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190601,-
1137606,39476297,DQM28_RS20350,DQM28_RS20350,DQM28_20625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
