#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147141,40083838,2,FDI13_gp002,SPARTACUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1147141,40083839,3,FDI13_gp003,SPARTACUS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1147141,40083840,4,FDI13_gp004,SPARTACUS_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1147141,40083841,5,FDI13_gp005,SPARTACUS_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1147141,40083842,6,FDI13_gp006,SPARTACUS_6,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210406,-
1147141,40083843,7,FDI13_gp007,SPARTACUS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083844,8,FDI13_gp008,SPARTACUS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083845,9,FDI13_gp009,SPARTACUS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1147141,40083846,10,FDI13_gp010,SPARTACUS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083847,11,FDI13_gp011,SPARTACUS_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1147141,40083848,13,FDI13_gp012,SPARTACUS_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1147141,40083849,12,FDI13_gp013,SPARTACUS_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1147141,40083850,14,FDI13_gp014,SPARTACUS_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1147141,40083851,15,FDI13_gp015,SPARTACUS_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1147141,40083852,16,FDI13_gp016,SPARTACUS_16,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1147141,40083853,17,FDI13_gp017,SPARTACUS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083854,18,FDI13_gp018,SPARTACUS_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083855,19,FDI13_gp019,SPARTACUS_19,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1147141,40083856,20,FDI13_gp020,SPARTACUS_20,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20201221,-
1147141,40083857,21,FDI13_gp021,SPARTACUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083858,22,FDI13_gp022,SPARTACUS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083859,23,FDI13_gp023,SPARTACUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083860,24,FDI13_gp024,SPARTACUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083861,25,FDI13_gp025,SPARTACUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083862,26,FDI13_gp026,SPARTACUS_26,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1147141,40083863,27,FDI13_gp027,SPARTACUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147141,40083864,28,FDI13_gp028,SPARTACUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
