#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147152,14181964,F853_gp02,F853_gp02,mEp460_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1147152,14181965,F853_gp03,F853_gp03,mEp460_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181966,F853_gp04,F853_gp04,mEp460_004,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1147152,14181967,F853_gp05,F853_gp05,mEp460_005,-,-,-,putative protease/scaffold protein,protein-coding,-,-,-,putative protease/scaffold protein,20210424,-
1147152,14181968,F853_gp06,F853_gp06,mEp460_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147152,14181969,F853_gp07,F853_gp07,mEp460_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1147152,14181970,F853_gp08,F853_gp08,mEp460_008,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147152,14181971,F853_gp09,F853_gp09,mEp460_009,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147152,14181972,F853_gp10,F853_gp10,mEp460_010,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
1147152,14181973,F853_gp11,F853_gp11,mEp460_011,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147152,14181974,F853_gp12,F853_gp12,mEp460_012,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20200629,-
1147152,14181975,F853_gp13,F853_gp13,mEp460_013,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20210417,-
1147152,14181976,F853_gp14,F853_gp14,mEp460_014,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1147152,14181977,F853_gp15,F853_gp15,mEp460_015,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
