#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1150989,14013268,F404_gp002,F404_gp002,pVp-1_0002,-,-,-,putative deoxyUTP pyrophosphatase,protein-coding,-,-,-,putative deoxyUTP pyrophosphatase,20201221,-
1150989,14013269,F404_gp003,F404_gp003,pVp-1_0003,-,-,-,flap endonuclease,protein-coding,-,-,-,flap endonuclease,20210406,-
1150989,14013270,F404_gp004,F404_gp004,pVp-1_0004,-,-,-,D14 protein,protein-coding,-,-,-,D14 protein,20201221,-
1150989,14013271,F404_gp005,F404_gp005,pVp-1_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013272,F404_gp006,F404_gp006,pVp-1_0006,-,-,-,putative exonuclease subunit 2,protein-coding,-,-,-,putative exonuclease subunit 2,20201221,-
1150989,14013273,F404_gp007,F404_gp007,pVp-1_0007,-,-,-,putative recombination endonuclease subunit D12,protein-coding,-,-,-,putative recombination endonuclease subunit D12,20201221,-
1150989,14013274,F404_gp008,F404_gp008,pVp-1_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013275,F404_gp009,F404_gp009,pVp-1_0009,-,-,-,D11 protein,protein-coding,-,-,-,D11 protein,20201221,-
1150989,14013276,F404_gp010,F404_gp010,pVp-1_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013277,F404_gp011,F404_gp011,pVp-1_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013278,F404_gp012,F404_gp012,pVp-1_0012,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210406,-
1150989,14013279,F404_gp013,F404_gp013,pVp-1_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013280,F404_gp014,F404_gp014,pVp-1_0014,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1150989,14013281,F404_gp015,F404_gp015,pVp-1_0015,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1150989,14013282,F404_gp016,F404_gp016,pVp-1_0016,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20201221,-
1150989,14013283,F404_gp017,F404_gp017,pVp-1_0017,-,-,-,D5 protein,protein-coding,-,-,-,D5 protein,20201221,-
1150989,14013284,F404_gp018,F404_gp018,pVp-1_0018,-,-,-,NAD-dependent DNA ligase subunit B,protein-coding,-,-,-,NAD-dependent DNA ligase subunit B,20201221,-
1150989,14013285,F404_gp019,F404_gp019,pVp-1_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013286,F404_gp020,F404_gp020,pVp-1_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013287,F404_gp021,F404_gp021,pVp-1_0021,-,-,-,NAD-dependent DNA ligase subunit A,protein-coding,-,-,-,NAD-dependent DNA ligase subunit A,20201221,-
1150989,14013288,F404_gp022,F404_gp022,pVp-1_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013289,F404_gp023,F404_gp023,pVp-1_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013290,F404_gp024,F404_gp024,pVp-1_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013291,F404_gp025,F404_gp025,pVp-1_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013292,F404_gp026,F404_gp026,pVp-1_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1150989,14013293,F404_gp027,F404_gp027,pVp-1_0027,-,-,-,D3 protein,protein-coding,-,-,-,D3 protein,20201221,-
1150989,14013294,F404_gp028,F404_gp028,pVp-1_0028,-,-,-,D2 protein,protein-coding,-,-,-,D2 protein,20201221,-
1150989,14013295,F404_gp029,F404_gp029,pVp-1_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013296,F404_gp030,F404_gp030,pVp-1_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013297,F404_gp031,F404_gp031,pVp-1_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013298,F404_gp032,F404_gp032,pVp-1_0032,-,-,-,putative replication origin binding protein,protein-coding,-,-,-,putative replication origin binding protein,20201221,-
1150989,14013299,F404_gp033,F404_gp033,pVp-1_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013300,F404_gp034,F404_gp034,pVp-1_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1150989,14013301,F404_gp035,F404_gp035,pVp-1_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1150989,14013302,F404_gp036,F404_gp036,pVp-1_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
