#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1162306,13165378,PHIZP2_gp12,PHIZP2_gp12,phiZP2_0012,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1162306,13165379,PHIZP2_gp13,PHIZP2_gp13,phiZP2_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165380,PHIZP2_gp14,PHIZP2_gp14,phiZP2_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165381,PHIZP2_gp15,PHIZP2_gp15,phiZP2_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165382,PHIZP2_gp16,PHIZP2_gp16,phiZP2_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165383,PHIZP2_gp17,PHIZP2_gp17,phiZP2_0017,-,-,-,collar protein,protein-coding,-,-,-,collar protein,20201221,-
1162306,13165384,PHIZP2_gp18,PHIZP2_gp18,phiZP2_0018,-,-,-,connector protein,protein-coding,-,-,-,connector protein,20201221,-
1162306,13165385,PHIZP2_gp19,PHIZP2_gp19,phiZP2_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165386,PHIZP2_gp20,PHIZP2_gp20,phiZP2_0020,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1162306,13165387,PHIZP2_gp21,PHIZP2_gp21,phiZP2_0021,-,-,-,putative lysozyme-peptidase,protein-coding,-,-,-,putative lysozyme-peptidase,20201221,-
1162306,13165388,PHIZP2_gp22,PHIZP2_gp22,phiZP2_0022,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1162306,13165389,PHIZP2_gp23,PHIZP2_gp23,phiZP2_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165390,PHIZP2_gp24,PHIZP2_gp24,phiZP2_0024,-,-,-,putative SpoVG protein,protein-coding,-,-,-,putative SpoVG protein,20201221,-
1162306,13165391,PHIZP2_gp25,PHIZP2_gp25,phiZP2_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165392,PHIZP2_gp26,PHIZP2_gp26,phiZP2_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165393,PHIZP2_gp27,PHIZP2_gp27,phiZP2_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165394,PHIZP2_gp01,PHIZP2_gp01,phiZP2_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165395,PHIZP2_gp02,PHIZP2_gp02,phiZP2_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165396,PHIZP2_gp03,PHIZP2_gp03,phiZP2_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165397,PHIZP2_gp04,PHIZP2_gp04,phiZP2_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165398,PHIZP2_gp05,PHIZP2_gp05,phiZP2_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165399,PHIZP2_gp06,PHIZP2_gp06,phiZP2_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165400,PHIZP2_gp07,PHIZP2_gp07,phiZP2_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165401,PHIZP2_gp08,PHIZP2_gp08,phiZP2_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1162306,13165402,PHIZP2_gp09,PHIZP2_gp09,phiZP2_009,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1162306,13165403,PHIZP2_gp10,PHIZP2_gp10,phiZP2_0010,-,-,-,DNA encapsidation protein,protein-coding,-,-,-,DNA encapsidation protein,20201221,-
1162306,13165404,PHIZP2_gp11,PHIZP2_gp11,phiZP2_0011,-,-,-,pre-neck appendage protein,protein-coding,-,-,-,pre-neck appendage protein,20201221,-
1162306,13229211,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200803,-
