#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1175654,40079434,FDH70_gp02,FDH70_gp02,PaMx25_02,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20201221,-
1175654,40079435,FDH70_gp03,FDH70_gp03,PaMx25_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079436,FDH70_gp04,FDH70_gp04,PaMx25_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079437,terS,FDH70_gp05,PaMx25_05,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1175654,40079438,terL,FDH70_gp06,PaMx25_06,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1175654,40079439,FDH70_gp07,FDH70_gp07,PaMx25_07,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1175654,40079440,FDH70_gp08,FDH70_gp08,PaMx25_08,-,-,-,putative morphogenesis protein,protein-coding,-,-,-,putative morphogenesis protein,20201221,-
1175654,40079441,FDH70_gp09,FDH70_gp09,PaMx25_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079442,FDH70_gp10,FDH70_gp10,PaMx25_10,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1175654,40079443,FDH70_gp11,FDH70_gp11,PaMx25_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079444,FDH70_gp12,FDH70_gp12,PaMx25_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079445,FDH70_gp13,FDH70_gp13,PaMx25_13,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079446,FDH70_gp14,FDH70_gp14,PaMx25_14,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079447,FDH70_gp15,FDH70_gp15,PaMx25_15,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079448,FDH70_gp16,FDH70_gp16,PaMx25_16,-,-,-,tail terminator protein,protein-coding,-,-,-,tail terminator protein,20201221,-
1175654,40079449,FDH70_gp17,FDH70_gp17,PaMx25_17,-,-,-,major tail structural protein,protein-coding,-,-,-,major tail structural protein,20201221,-
1175654,40079450,FDH70_gp18,FDH70_gp18,PaMx25_18,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1175654,40079451,FDH70_gp19,FDH70_gp19,PaMx25_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079452,FDH70_gp20,FDH70_gp20,PaMx25_20,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079453,FDH70_gp21,FDH70_gp21,PaMx25_21,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1175654,40079454,FDH70_gp22,FDH70_gp22,PaMx25_22,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079455,FDH70_gp23,FDH70_gp23,PaMx25_23,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079456,FDH70_gp24,FDH70_gp24,PaMx25_24,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079457,FDH70_gp25,FDH70_gp25,PaMx25_25,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079458,FDH70_gp26,FDH70_gp26,PaMx25_26,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079459,FDH70_gp27,FDH70_gp27,PaMx25_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079460,FDH70_gp28,FDH70_gp28,PaMx25_28,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175654,40079461,FDH70_gp29,FDH70_gp29,PaMx25_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079462,FDH70_gp30,FDH70_gp30,PaMx25_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079463,FDH70_gp31,FDH70_gp31,PaMx25_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175654,40079464,FDH70_gp32,FDH70_gp32,PaMx25_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
