#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1175663,26626397,AVV49_gp75,AVV49_gp75,PaMx74_75,-,-,-,putative primase/polymerase,protein-coding,-,-,-,putative primase/polymerase,20201221,-
1175663,26626398,AVV49_gp74,AVV49_gp74,PaMx74_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626399,AVV49_gp73,AVV49_gp73,PaMx74_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626400,AVV49_gp72,AVV49_gp72,PaMx74_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626401,AVV49_gp71,AVV49_gp71,PaMx74_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626402,AVV49_gp70,AVV49_gp70,PaMx74_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626403,AVV49_gp69,AVV49_gp69,PaMx74_69,-,-,-,putative nucleotide pyrophosphohydrolase,protein-coding,-,-,-,putative nucleotide pyrophosphohydrolase,20201221,-
1175663,26626404,AVV49_gp68,AVV49_gp68,PaMx74_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626405,AVV49_gp67,AVV49_gp67,PaMx74_67,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20201221,-
1175663,26626406,AVV49_gp66,AVV49_gp66,PaMx74_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626407,AVV49_gp65,AVV49_gp65,PaMx74_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626408,AVV49_gp64,AVV49_gp64,PaMx74_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626409,AVV49_gp63,AVV49_gp63,PaMx74_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626410,AVV49_gp62,AVV49_gp62,PaMx74_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626411,AVV49_gp61,AVV49_gp61,PaMx74_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626412,AVV49_gp60,AVV49_gp60,PaMx74_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626413,AVV49_gp59,AVV49_gp59,PaMx74_59,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1175663,26626414,AVV49_gp58,AVV49_gp58,PaMx74_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626415,AVV49_gp57,AVV49_gp57,PaMx74_57,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1175663,26626416,AVV49_gp56,AVV49_gp56,PaMx74_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626417,AVV49_gp55,AVV49_gp55,PaMx74_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175663,26626418,AVV49_gp54,AVV49_gp54,PaMx74_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
