#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1211278,40066920,FDG59_gp02,FDG59_gp02,ELB20_02,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
1211278,40066921,FDG59_gt01,FDG59_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1211278,40066922,FDG59_gp01,FDG59_gp01,ELB20_01,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066923,FDG59_gp80,FDG59_gp80,ELB20_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066924,FDG59_gp79,FDG59_gp79,ELB20_05,-,-,-,putative terminase protein,protein-coding,-,-,-,putative terminase protein,20200909,-
1211278,40066925,FDG59_gp78,FDG59_gp78,ELB20_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066926,FDG59_gp77,FDG59_gp77,ELB20_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066927,FDG59_gp76,FDG59_gp76,ELB20_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066928,FDG59_gp75,FDG59_gp75,ELB20_09,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200909,-
1211278,40066929,FDG59_gp74,FDG59_gp74,ELB20_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066930,FDG59_gp73,FDG59_gp73,ELB20_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066931,FDG59_gp72,FDG59_gp72,ELB20_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066932,FDG59_gp71,FDG59_gp71,ELB20_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066933,FDG59_gp70,FDG59_gp70,ELB20_14,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200909,-
1211278,40066934,FDG59_gp69,FDG59_gp69,ELB20_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1211278,40066935,FDG59_gp68,FDG59_gp68,ELB20_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200909,-
1211278,40066936,FDG59_gp67,FDG59_gp67,ELB20_17,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200909,-
1211278,40066937,FDG59_gp66,FDG59_gp66,ELB20_18,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200909,-
1211278,40066938,FDG59_gp65,FDG59_gp65,ELB20_19,-,-,-,putative tail protease,protein-coding,-,-,-,putative tail protease,20200909,-
1211278,40066939,FDG59_gp64,FDG59_gp64,ELB20_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066940,FDG59_gp63,FDG59_gp63,ELB20_21,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200909,-
1211278,40066941,FDG59_gp62,FDG59_gp62,ELB20_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066942,FDG59_gp61,FDG59_gp61,ELB20_23,-,-,-,chaperone of endosialidase,protein-coding,-,-,-,chaperone of endosialidase,20200909,-
1211278,40066943,FDG59_gp60,FDG59_gp60,ELB20_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066944,FDG59_gp59,FDG59_gp59,ELB20_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1211278,40066945,FDG59_gp58,FDG59_gp58,ELB20_26,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20200909,-
