#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235649,16835280,P757_gp02,P757_gp02,PHL067M10_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235649,16835281,P757_gp03,P757_gp03,PHL067M10_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235649,16835282,P757_gp04,P757_gp04,PHL067M10_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835283,P757_gp05,P757_gp05,PHL067M10_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235649,16835284,P757_gp06,P757_gp06,PHL067M10_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235649,16835285,P757_gp07,P757_gp07,PHL067M10_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835286,P757_gp08,P757_gp08,PHL067M10_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835287,P757_gp09,P757_gp09,PHL067M10_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835288,P757_gp10,P757_gp10,PHL067M10_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835289,P757_gp11,P757_gp11,PHL067M10_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235649,16835290,P757_gp12,P757_gp12,PHL067M10_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835291,P757_gp13,P757_gp13,PHL067M10_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835292,P757_gp14,P757_gp14,PHL067M10_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235649,16835293,P757_gp15,P757_gp15,PHL067M10_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235649,16835294,P757_gp16,P757_gp16,PHL067M10_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235649,16835295,P757_gp17,P757_gp17,PHL067M10_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835296,P757_gp18,P757_gp18,PHL067M10_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235649,16835297,P757_gp19,P757_gp19,PHL067M10_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235649,16835298,P757_gp20,P757_gp20,PHL067M10_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235649,16835299,P757_gp21,P757_gp21,PHL067M10_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
