#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235689,14296885,G169_gp02,G169_gp02,AF_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1235689,14296886,G169_gp03,G169_gp03,AF_003,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20201221,-
1235689,14296887,G169_gp04,G169_gp04,AF_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296888,G169_gp05,G169_gp05,AF_005,-,-,-,putative head-to-tail-connector,protein-coding,-,-,-,putative head-to-tail-connector,20201221,-
1235689,14296889,G169_gp06,G169_gp06,AF_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296890,G169_gp07,G169_gp07,AF_007,-,-,-,putative endoprotease,protein-coding,-,-,-,putative endoprotease,20201221,-
1235689,14296891,G169_gp08,G169_gp08,AF_008,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
1235689,14296892,G169_gp09,G169_gp09,AF_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296893,G169_gp10,G169_gp10,AF_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296894,G169_gp11,G169_gp11,AF_011,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20201221,-
1235689,14296895,G169_gp12,G169_gp12,AF_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296896,G169_gp13,G169_gp13,AF_013,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20201221,-
1235689,14296897,G169_gp14,G169_gp14,AF_014,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201221,-
1235689,14296898,G169_gp15,G169_gp15,AF_015,-,-,-,putative structural lysozyme,protein-coding,-,-,-,putative structural lysozyme,20201221,-
1235689,14296899,G169_gp16,G169_gp16,AF_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296900,G169_gp17,G169_gp17,AF_017,-,-,-,putative class I holin,protein-coding,-,-,-,putative class I holin,20201221,-
1235689,14296901,G169_gp18,G169_gp18,AF_018,-,-,-,putative class I holin,protein-coding,-,-,-,putative class I holin,20201221,-
1235689,14296902,G169_gp19,G169_gp19,AF_019,-,-,-,putative tail spike protein,protein-coding,-,-,-,putative tail spike protein,20201221,-
1235689,14296903,G169_gp20,G169_gp20,AF_020,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1235689,14296904,G169_gp21,G169_gp21,AF_021,-,-,-,putative Rz-like protein,protein-coding,-,-,-,putative Rz-like protein,20201221,-
1235689,14296905,G169_gp22,G169_gp22,AF_022,-,-,-,putative Rz1-like protein,protein-coding,-,-,-,putative Rz1-like protein,20201221,-
1235689,14296906,G169_gp23,G169_gp23,AF_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296907,G169_gp24,G169_gp24,AF_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296908,G169_gp26,G169_gp26,AF_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296909,G169_gp27,G169_gp27,AF_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235689,14296910,G169_gp28,G169_gp28,AF_028,-,-,-,putative anti-R-Lar restriction alleviation protein,protein-coding,-,-,-,putative anti-R-Lar restriction alleviation protein,20201221,-
1235689,14296911,G169_gp29,G169_gp29,AF_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
