#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239381,13997112,phiNJ2_003,phiNJ2_003,-,-,-,-,putative phage amidase protein,protein-coding,-,-,-,putative phage amidase protein,20200629,-
1239381,13997113,phiNJ2_004,phiNJ2_004,-,-,-,-,putative holin protein,protein-coding,-,-,-,putative holin protein,20200629,-
1239381,13997114,phiNJ2_005,phiNJ2_005,-,-,-,-,putative integral membrane protein DUF106,protein-coding,-,-,-,putative integral membrane protein DUF106,20200629,-
1239381,13997115,phiNJ2_006,phiNJ2_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997116,phiNJ2_007,phiNJ2_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997117,phiNJ2_008,phiNJ2_008,-,-,-,-,putative antireceptor protein,protein-coding,-,-,-,putative antireceptor protein,20200629,-
1239381,13997118,phiNJ2_009,phiNJ2_009,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200629,-
1239381,13997119,phiNJ2_0010,phiNJ2_0010,-,-,-,-,putative envelope protein,protein-coding,-,-,-,putative envelope protein,20200629,-
1239381,13997120,phiNJ2_0011,phiNJ2_0011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997121,phiNJ2_0012,phiNJ2_0012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997122,phiNJ2_0013,phiNJ2_0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997123,phiNJ2_0014,phiNJ2_0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997124,phiNJ2_0015,phiNJ2_0015,-,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20200629,-
1239381,13997125,phiNJ2_0016,phiNJ2_0016,-,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20200629,-
1239381,13997126,phiNJ2_0017,phiNJ2_0017,-,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20200629,-
1239381,13997127,phiNJ2_0018,phiNJ2_0018,-,-,-,-,putative phosphate-selective porin O and P,protein-coding,-,-,-,putative phosphate-selective porin O and P,20200629,-
1239381,13997128,phiNJ2_0019,phiNJ2_0019,-,-,-,-,putative spermine/spermidine synthase,protein-coding,-,-,-,putative spermine/spermidine synthase,20200629,-
1239381,13997129,phiNJ2_0020,phiNJ2_0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997130,phiNJ2_0021,phiNJ2_0021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1239381,13997131,phiNJ2_0022,phiNJ2_0022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997132,phiNJ2_0023,phiNJ2_0023,-,-,-,-,putative phage minor capsid protein 2,protein-coding,-,-,-,putative phage minor capsid protein 2,20200629,-
1239381,13997133,phiNJ2_0024,phiNJ2_0024,-,-,-,-,putative phage portal protein,protein-coding,-,-,-,putative phage portal protein,20200629,-
1239381,13997134,phiNJ2_0025,phiNJ2_0025,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20200629,-
1239381,13997135,phiNJ2_0026,phiNJ2_0026,-,-,-,-,putative phage terminase small subunit,protein-coding,-,-,-,putative phage terminase small subunit,20200629,-
1239381,13997136,phiNJ2_0027,phiNJ2_0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997137,phiNJ2_0028,phiNJ2_0028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997138,phiNJ2_0029,phiNJ2_0029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997139,phiNJ2_0030,phiNJ2_0030,-,-,-,-,putative yopX protein,protein-coding,-,-,-,putative yopX protein,20200629,-
1239381,13997140,phiNJ2_0031,phiNJ2_0031,-,-,-,-,putative endodeoxyribonuclease RusA,protein-coding,-,-,-,putative endodeoxyribonuclease RusA,20200629,-
1239381,13997141,phiNJ2_0032,phiNJ2_0032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997142,phiNJ2_0033,phiNJ2_0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997143,phiNJ2_0034,phiNJ2_0034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997144,phiNJ2_0035,phiNJ2_0035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997145,phiNJ2_0036,phiNJ2_0036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997146,phiNJ2_0037,phiNJ2_0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997147,phiNJ2_0038,phiNJ2_0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997148,phiNJ2_0039,phiNJ2_0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997149,phiNJ2_0040,phiNJ2_0040,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
1239381,13997150,phiNJ2_0041,phiNJ2_0041,-,-,-,-,putative C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,putative C-5 cytosine-specific DNA methylase,20200629,-
1239381,13997151,phiNJ2_0042,phiNJ2_0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997152,phiNJ2_0043,phiNJ2_0043,-,-,-,-,putative single-strand binding protein,protein-coding,-,-,-,putative single-strand binding protein,20200629,-
1239381,13997153,phiNJ2_0044,phiNJ2_0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997154,phiNJ2_0045,phiNJ2_0045,-,-,-,-,putative mazG nucleotide pyrophosphohydrolase,protein-coding,-,-,-,putative mazG nucleotide pyrophosphohydrolase,20200629,-
1239381,13997155,phiNJ2_0046,phiNJ2_0046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997156,phiNJ2_0047,phiNJ2_0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997157,phiNJ2_0048,phiNJ2_0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997158,phiNJ2_0049,phiNJ2_0049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997159,phiNJ2_0050,phiNJ2_0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997160,phiNJ2_0051,phiNJ2_0051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997161,phiNJ2_0052,phiNJ2_0052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997162,phiNJ2_0053,phiNJ2_0053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997163,phiNJ2_0054,phiNJ2_0054,-,-,-,-,peptidase S24-like protein,protein-coding,-,-,-,peptidase S24-like protein,20200629,-
1239381,13997164,phiNJ2_0055,phiNJ2_0055,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20200629,-
1239381,13997165,phiNJ2_002,phiNJ2_002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1239381,13997166,phiNJ2_001,phiNJ2_001,-,-,-,-,putative recombinase,protein-coding,-,-,-,putative recombinase,20200629,-
1239381,14007758,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus suis phage phiNJ2).,other,-,-,-,-,20200513,-
