#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239383,14181243,F867_gp116,F867_gp116,-,-,-,-,immunodominant antigen a,protein-coding,-,-,-,immunodominant antigen a,20200629,-
1239383,14181244,F867_gp115,F867_gp115,-,-,-,-,pathogenesis-related transcriptional factor and erf protein,protein-coding,-,-,-,pathogenesis-related transcriptional factor and erf protein,20200629,-
1239383,14181245,F867_gp114,F867_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181246,F867_gp113,F867_gp113,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1239383,14181247,F867_gp112,F867_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181248,F867_gp111,F867_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181249,F867_gp110,F867_gp110,-,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20210406,-
1239383,14181250,F867_gp109,F867_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181251,F867_gp108,F867_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1239383,14181252,F867_gp107,F867_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181253,F867_gp106,F867_gp106,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210403,-
1239383,14181254,F867_gp105,F867_gp105,-,-,-,-,nucleoside 2-deoxyribosyltransferase,protein-coding,-,-,-,nucleoside 2-deoxyribosyltransferase,20200629,-
1239383,14181255,F867_gp104,F867_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181256,F867_gp103,F867_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1239383,14181257,F867_gp102,F867_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181258,F867_gp101,F867_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181259,F867_gp100,F867_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181260,F867_gp099,F867_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181261,F867_gp098,F867_gp098,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
1239383,14181262,F867_gp097,F867_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1239383,14181263,F867_gp096,F867_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181264,F867_gp095,F867_gp095,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200905,-
1239383,14181265,F867_gp094,F867_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181266,F867_gp093,F867_gp093,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181267,F867_gp092,F867_gp092,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181268,F867_gp091,F867_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181269,F867_gp090,F867_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181270,F867_gp089,F867_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181271,F867_gp088,F867_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181272,F867_gp087,F867_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181273,F867_gp086,F867_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181274,F867_gp085,F867_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181275,F867_gp084,F867_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181276,F867_gp083,F867_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181277,F867_gp082,F867_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181278,F867_gp081,F867_gp081,-,-,-,-,lipase acylhydrolase domain protein,protein-coding,-,-,-,lipase acylhydrolase domain protein,20200629,-
1239383,14181279,F867_gp080,F867_gp080,-,-,-,-,serine threonine protein phosphatase I,protein-coding,-,-,-,serine threonine protein phosphatase I,20200629,-
1239383,14181280,F867_gp079,F867_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181281,F867_gp078,F867_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181282,F867_gp077,F867_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181283,F867_gp076,F867_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181284,F867_gp002,F867_gp002,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181285,mbpT,F867_gp169,-,-,-,-,MbpT,protein-coding,-,-,-,MbpT,20200629,-
1239383,14181286,F867_gp074,F867_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181287,F867_gp073,F867_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181288,F867_gp072,F867_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181289,F867_gp071,F867_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
