#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239385,54970186,HOQ70_gp206,HOQ70_gp206,SA5_032,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20210130,-
1239385,54970187,HOQ70_gp205,HOQ70_gp205,SA5_033,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210320,-
1239385,54970188,HOQ70_gp204,HOQ70_gp204,SA5_034,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970189,HOQ70_gp203,HOQ70_gp203,SA5_035,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970190,HOQ70_gp202,HOQ70_gp202,SA5_036,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1239385,54970191,HOQ70_gp201,HOQ70_gp201,SA5_038,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210212,-
1239385,54970192,HOQ70_gp200,HOQ70_gp200,SA5_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970193,HOQ70_gp199,HOQ70_gp199,SA5_040,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210212,-
1239385,54970194,HOQ70_gp197,HOQ70_gp197,SA5_042,-,-,-,-,other,-,-,-,-,20200909,-
1239385,54970195,HOQ70_gp196,HOQ70_gp196,SA5_043,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200905,-
1239385,54970196,HOQ70_gp195,HOQ70_gp195,SA5_044,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210130,-
1239385,54970197,HOQ70_gp194,HOQ70_gp194,SA5_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970198,HOQ70_gp192,HOQ70_gp192,SA5_048,-,-,-,-,other,-,-,-,-,20200909,-
1239385,54970199,HOQ70_gp191,HOQ70_gp191,SA5_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970200,HOQ70_gp190,HOQ70_gp190,SA5_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970201,HOQ70_gp189,HOQ70_gp189,SA5_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1239385,54970202,HOQ70_gp188,HOQ70_gp188,SA5_051,-,-,-,putative resolvase,protein-coding,-,-,-,putative resolvase,20210129,-
1239385,54970203,HOQ70_gp187,HOQ70_gp187,SA5_052,-,-,-,putative NrdI protein,protein-coding,-,-,-,putative NrdI protein,20210130,-
1239385,54970204,HOQ70_gp186,HOQ70_gp186,SA5_053,-,-,-,-,other,-,-,-,-,20200909,-
1239385,54970205,HOQ70_gp185,HOQ70_gp185,SA5_054,-,-,-,putative ribonucleotide reductase minor subunit,protein-coding,-,-,-,putative ribonucleotide reductase minor subunit,20210130,-
1239385,54970206,HOQ70_gp184,HOQ70_gp184,SA5_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970207,HOQ70_gp183,HOQ70_gp183,SA5_056,-,-,-,putative thioredoxin-like protein,protein-coding,-,-,-,putative thioredoxin-like protein,20210320,-
1239385,54970208,HOQ70_gp182,HOQ70_gp182,SA5_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970209,HOQ70_gp181,HOQ70_gp181,SA5_058,-,-,-,putative integration host factor,protein-coding,-,-,-,putative integration host factor,20210130,-
1239385,54970210,HOQ70_gp180,HOQ70_gp180,SA5_059,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210313,-
1239385,54970211,HOQ70_gp179,HOQ70_gp179,SA5_060,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20200629,-
1239385,54970212,HOQ70_gp178,HOQ70_gp178,SA5_061,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210313,-
1239385,54970213,HOQ70_gp177,HOQ70_gp177,SA5_062,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210129,-
1239385,54970214,HOQ70_gp176,HOQ70_gp176,SA5_063,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210130,-
1239385,54970215,HOQ70_gp175,HOQ70_gp175,SA5_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970216,HOQ70_gp174,HOQ70_gp174,SA5_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1239385,54970217,HOQ70_gp173,HOQ70_gp173,SA5_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970218,HOQ70_gp172,HOQ70_gp172,SA5_067,-,-,-,putative DNA repair protein,protein-coding,-,-,-,putative DNA repair protein,20210130,-
1239385,54970219,HOQ70_gp171,HOQ70_gp171,SA5_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970220,HOQ70_gp170,HOQ70_gp170,SA5_069,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210130,-
1239385,54970221,HOQ70_gp169,HOQ70_gp169,SA5_070,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200926,-
1239385,54970222,HOQ70_gp168,HOQ70_gp168,SA5_071,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210212,-
1239385,54970223,HOQ70_gp167,HOQ70_gp167,SA5_072,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970224,HOQ70_gp166,HOQ70_gp166,SA5_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970225,HOQ70_gp165,HOQ70_gp165,SA5_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970226,HOQ70_gp164,HOQ70_gp164,SA5_075,-,-,-,putative DNA repair exonuclease,protein-coding,-,-,-,putative DNA repair exonuclease,20200629,-
1239385,54970227,HOQ70_gp163,HOQ70_gp163,SA5_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970228,HOQ70_gp162,HOQ70_gp162,SA5_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970229,HOQ70_gp161,HOQ70_gp161,SA5_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970230,HOQ70_gp160,HOQ70_gp160,SA5_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1239385,54970231,HOQ70_gp159,HOQ70_gp159,SA5_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970232,HOQ70_gp158,HOQ70_gp158,SA5_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970233,HOQ70_gp157,HOQ70_gp157,SA5_083,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1239385,54970234,HOQ70_gp156,HOQ70_gp156,SA5_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970235,HOQ70_gp155,HOQ70_gp155,SA5_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970236,HOQ70_gp154,HOQ70_gp154,SA5_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970237,HOQ70_gp153,HOQ70_gp153,SA5_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970238,HOQ70_gp152,HOQ70_gp152,SA5_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970239,HOQ70_gp151,HOQ70_gp151,SA5_089.1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970240,HOQ70_gp150,HOQ70_gp150,SA5_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970241,HOQ70_gp149,HOQ70_gp149,SA5_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970242,HOQ70_gp148,HOQ70_gp148,SA5_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970243,HOQ70_gp147,HOQ70_gp147,SA5_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970244,HOQ70_gp146,HOQ70_gp146,SA5_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970245,HOQ70_gp145,HOQ70_gp145,SA5_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970246,HOQ70_gp144,HOQ70_gp144,SA5_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970247,HOQ70_gp143,HOQ70_gp143,SA5_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970248,HOQ70_gp142,HOQ70_gp142,SA5_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970249,HOQ70_gp141,HOQ70_gp141,SA5_0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970250,HOQ70_gp140,HOQ70_gp140,SA5_0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970251,HOQ70_gp139,HOQ70_gp139,SA5_0102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970252,HOQ70_gp138,HOQ70_gp138,SA5_0104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970253,HOQ70_gp137,HOQ70_gp137,SA5_0105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970254,HOQ70_gp136,HOQ70_gp136,SA5_0106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1239385,54970255,HOQ70_gp135,HOQ70_gp135,SA5_0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970256,HOQ70_gp134,HOQ70_gp134,SA5_0108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970257,HOQ70_gp133,HOQ70_gp133,SA5_0109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970258,HOQ70_gp132,HOQ70_gp132,SA5_0110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970259,HOQ70_gp131,HOQ70_gp131,SA5_0111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970260,HOQ70_gp128,HOQ70_gp128,SA5_0113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970261,HOQ70_gp129,HOQ70_gp129,SA5_0116,-,-,-,-,other,-,-,-,-,20200909,-
1239385,54970262,HOQ70_gp127,HOQ70_gp127,SA5_0114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970263,HOQ70_gp126,HOQ70_gp126,SA5_0115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970264,HOQ70_gp125,HOQ70_gp125,SA5_0117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970265,HOQ70_gp124,HOQ70_gp124,SA5_0118,-,-,-,putative ribose phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose phosphate pyrophosphokinase,20200926,-
1239385,54970266,HOQ70_gp123,HOQ70_gp123,SA5_0119,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20200926,-
1239385,54970267,HOQ70_gp122,HOQ70_gp122,SA5_0120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970268,HOQ70_gp121,HOQ70_gp121,SA5_0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970269,HOQ70_gp120,HOQ70_gp120,SA5_0122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970270,HOQ70_gp119,HOQ70_gp119,SA5_0123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970271,HOQ70_gp118,HOQ70_gp118,SA5_0124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970272,HOQ70_gp117,HOQ70_gp117,SA5_0125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970273,HOQ70_gp116,HOQ70_gp116,SA5_0126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970274,HOQ70_gp115,HOQ70_gp115,SA5_0127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970275,HOQ70_gp114,HOQ70_gp114,SA5_0128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970276,HOQ70_gp113,HOQ70_gp113,SA5_0129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970277,HOQ70_gp112,HOQ70_gp112,SA5_0130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970278,HOQ70_gp111,HOQ70_gp111,SA5_0131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970279,HOQ70_gp110,HOQ70_gp110,SA5_0132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970280,HOQ70_gp109,HOQ70_gp109,SA5_0133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970281,HOQ70_gp108,HOQ70_gp108,SA5_0134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970282,HOQ70_gp107,HOQ70_gp107,SA5_0135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970283,HOQ70_gp106,HOQ70_gp106,SA5_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970284,HOQ70_gp105,HOQ70_gp105,SA5_0137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970285,HOQ70_gp104,HOQ70_gp104,SA5_0138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970286,HOQ70_gp102,HOQ70_gp102,SA5_0143,-,-,-,-,other,-,-,-,-,20200909,-
1239385,54970287,HOQ70_gp101,HOQ70_gp101,SA5_0140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239385,54970288,HOQ70_gp100,HOQ70_gp100,SA5_0141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
