#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
12417,1262144,phiadhp42,phiadhp42,-,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20201220,-
12417,1262145,phiadhp49,phiadhp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262146,phiadhp48,phiadhp48,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
12417,1262147,phiadhp47,phiadhp47,-,-,-,-,DUF806 family protein,protein-coding,-,-,-,DUF806 family protein,20210417,-
12417,1262148,phiadhp46,phiadhp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262149,phiadhp45,phiadhp45,-,-,-,-,head closure protein,protein-coding,-,-,-,head closure protein,20201220,-
12417,1262150,phiadhp44,phiadhp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262151,phiadhp51,phiadhp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262152,intG,phiadhp01,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
12417,1262153,ORFB,phiadhp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262154,rad,phiadhp05,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
12417,1262155,tec,phiadhp06,-,-,-,-,Tec protein,protein-coding,-,-,-,Tec protein,20200629,-
12417,1262156,hol,phiadhp61,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
12417,1262157,lys,phiadhp62,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201220,-
12417,1262158,phiadhp03,phiadhp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262159,phiadhp04,phiadhp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262160,phiadhp07,phiadhp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262161,phiadhp50,phiadhp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262162,phiadhp08,phiadhp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262163,phiadhp43,phiadhp43,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
12417,1262164,phiadhp09,phiadhp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262165,phiadhp10,phiadhp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262166,phiadhp11,phiadhp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262167,phiadhp12,phiadhp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262168,phiadhp13,phiadhp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262169,phiadhp14,phiadhp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262170,phiadhp15,phiadhp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262171,phiadhp16,phiadhp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262172,phiadhp52,phiadhp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262173,phiadhp17,phiadhp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262174,phiadhp18,phiadhp18,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
12417,1262175,phiadhp19,phiadhp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262176,phiadhp20,phiadhp20,-,-,-,-,putative DEAH-family helicase,protein-coding,-,-,-,putative DEAH-family helicase,20201220,-
12417,1262177,phiadhp21,phiadhp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12417,1262178,phiadhp22,phiadhp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262179,phiadhp23,phiadhp23,-,-,-,-,putative DNA-polymerase or DNA-primase,protein-coding,-,-,-,putative DNA-polymerase or DNA-primase,20201220,-
12417,1262180,phiadhp24,phiadhp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262181,phiadhp25,phiadhp25,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
12417,1262182,phiadhp26,phiadhp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262183,phiadhp27,phiadhp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262184,phiadhp28,phiadhp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262185,phiadhp63,phiadhp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12417,1262186,phiadhp60,phiadhp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
