#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1245890,13997216,JL1_49,JL1_49,-,-,-,-,putative phage major tail protein,protein-coding,-,-,-,putative phage major tail protein,20201221,-
1245890,13997217,JL1_50,JL1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997218,JL1_51,JL1_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997219,JL1_52,JL1_52,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1245890,13997220,JL1_53,JL1_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997221,JL1_54,JL1_54,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1245890,13997222,JL1_55,JL1_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997223,JL1_56,JL1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997224,JL1_57,JL1_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997225,JL1_58,JL1_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997226,JL1_59,JL1_59,-,-,-,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20201221,-
1245890,13997227,JL1_60,JL1_60,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201221,-
1245890,13997228,JL1_1,JL1_1,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1245890,13997229,JL1_2,JL1_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997230,JL1_3,JL1_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997231,JL1_4,JL1_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997232,JL1_5,JL1_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1245890,13997233,JL1_6,JL1_6,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1245890,13997234,JL1_7,JL1_7,-,-,-,-,putative holin-like class I protein,protein-coding,-,-,-,putative holin-like class I protein,20201221,-
1245890,13997235,JL1_8,JL1_8,-,-,-,-,putative holin-like class II protein,protein-coding,-,-,-,putative holin-like class II protein,20201221,-
