#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327037,18506469,P2559Y_0002,P2559Y_0002,-,-,-,-,terminase-like family protein,protein-coding,-,-,-,terminase-like family protein,20201221,-
1327037,18506470,P2559Y_0003,P2559Y_0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506471,P2559Y_0004,P2559Y_0004,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1327037,18506472,P2559Y_0005,P2559Y_0005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506473,P2559Y_0006,P2559Y_0006,-,-,-,-,putative phage capsid protein,protein-coding,-,-,-,putative phage capsid protein,20201221,-
1327037,18506474,P2559Y_0007,P2559Y_0007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506475,P2559Y_0008,P2559Y_0008,-,-,-,-,putative capsid associated protein,protein-coding,-,-,-,putative capsid associated protein,20201221,-
1327037,18506476,P2559Y_0009,P2559Y_0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506477,P2559Y_0010,P2559Y_0010,-,-,-,-,putative phage capsid protein,protein-coding,-,-,-,putative phage capsid protein,20201221,-
1327037,18506478,P2559Y_0011,P2559Y_0011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506479,P2559Y_0012,P2559Y_0012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506480,P2559Y_0013,P2559Y_0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506481,P2559Y_0014,P2559Y_0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506482,P2559Y_0015,P2559Y_0015,-,-,-,-,phage tail length tape-measure protein,protein-coding,-,-,-,phage tail length tape-measure protein,20201221,-
1327037,18506483,P2559Y_0016,P2559Y_0016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506484,P2559Y_0017,P2559Y_0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506485,P2559Y_0018,P2559Y_0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506486,P2559Y_0019,P2559Y_0019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506487,P2559Y_0020,P2559Y_0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506488,P2559Y_0021,P2559Y_0021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506489,P2559Y_0022,P2559Y_0022,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20201221,-
1327037,18506490,P2559Y_0023,P2559Y_0023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506491,P2559Y_0024,P2559Y_0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506492,P2559Y_0025,P2559Y_0025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506493,P2559Y_0026,P2559Y_0026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506494,P2559Y_0027,P2559Y_0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506495,P2559Y_0028,P2559Y_0028,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1327037,18506496,P2559Y_0029,P2559Y_0029,-,-,-,-,virulence-associated protein E,protein-coding,-,-,-,virulence-associated protein E,20201221,-
1327037,18506497,P2559Y_0030,P2559Y_0030,-,-,-,-,VRR-NUC domain protein,protein-coding,-,-,-,VRR-NUC domain protein,20201221,-
1327037,18506498,P2559Y_0031,P2559Y_0031,-,-,-,-,SWI/SNF chromatin-remodeling complex subunit snf22,protein-coding,-,-,-,SWI/SNF chromatin-remodeling complex subunit snf22,20201221,-
1327037,18506499,P2559Y_0032,P2559Y_0032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506500,P2559Y_0033,P2559Y_0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506501,P2559Y_0034,P2559Y_0034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506502,P2559Y_0035,P2559Y_0035,-,-,-,-,DUTP diphosphatase,protein-coding,-,-,-,DUTP diphosphatase,20201221,-
1327037,18506503,P2559Y_0036,P2559Y_0036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506504,P2559Y_0037,P2559Y_0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506505,P2559Y_0038,P2559Y_0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506506,P2559Y_0039,P2559Y_0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506507,P2559Y_0040,P2559Y_0040,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1327037,18506508,P2559Y_0041,P2559Y_0041,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1327037,18506509,P2559Y_0042,P2559Y_0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506510,P2559Y_0043,P2559Y_0043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506511,P2559Y_0044,P2559Y_0044,-,-,-,-,SEC-C motif protein,protein-coding,-,-,-,SEC-C motif protein,20201221,-
1327037,18506512,P2559Y_0045,P2559Y_0045,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1327037,18506513,P2559Y_0046,P2559Y_0046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506514,P2559Y_0047,P2559Y_0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506515,P2559Y_0048,P2559Y_0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506516,P2559Y_0049,P2559Y_0049,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1327037,18506517,P2559Y_0050,P2559Y_0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506518,P2559Y_0051,P2559Y_0051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327037,18506519,P2559Y_0001,P2559Y_0001,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1327037,18558743,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
