#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1346893,40524561,FK790_gp02,FK790_gp02,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210123,-
1346893,40524562,FK790_gp03,FK790_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
1346893,40524563,FK790_gp04,FK790_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
1346893,40524564,FK790_gp05,FK790_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
1346893,40524565,FK790_gp06,FK790_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1346893,40524566,FK790_gp07,FK790_gp07,-,-,-,-,trbP-related,protein-coding,-,-,-,trbP-related,20200905,-
1346893,40524567,FK790_gp08,FK790_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1346893,40524568,FK790_gp09,FK790_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1346893,40524569,FK790_gp10,FK790_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
1346893,40524570,rstA,FK790_gp01,-,-,-,-,phage replication protein,protein-coding,-,-,-,phage replication protein,20200905,-
1346893,40863472,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Stenotrophomonas phage phiSMA6).,other,-,-,-,-,20201116,-
