#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1354508,16835138,BANE1_4,BANE1_4,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20201221,-
1354508,16835139,BANE1_5,BANE1_5,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1354508,16835140,BANE1_6,BANE1_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835141,BANE1_7,BANE1_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835142,BANE1_11,BANE1_11,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1354508,16835143,BANE1_12,BANE1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835144,BANE1_13,BANE1_13,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1354508,16835145,BANE1_14,BANE1_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835146,BANE1_15,BANE1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835147,BANE1_16,BANE1_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835148,BANE1_17,BANE1_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835149,BANE1_19,BANE1_19,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1354508,16835150,BANE1_20,BANE1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835151,BANE1_21,BANE1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835152,BANE1_22,BANE1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835153,BANE1_23,BANE1_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835154,BANE1_24,BANE1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835155,BANE1_25,BANE1_25,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1354508,16835156,BANE1_26,BANE1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835157,BANE1_27,BANE1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835158,BANE1_28,BANE1_28,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1354508,16835159,BANE1_29,BANE1_29,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1354508,16835160,BANE1_30,BANE1_30,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1354508,16835161,BANE1_31,BANE1_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835162,BANE1_32,BANE1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835163,BANE1_33,BANE1_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835164,BANE1_34,BANE1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835165,BANE1_35,BANE1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835166,BANE1_36,BANE1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354508,16835167,BANE1_37,BANE1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
