#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
135651,33352197,ND4L,CGV97_mgp11,-,-,mt|MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,-,20170916,-
135651,33352198,CGV97_mgt03,CGV97_mgt03,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352199,ATP6,CGV97_mgp09,-,-,mt|MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,-,20170916,-
135651,33352200,CGV97_mgt08,CGV97_mgt08,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352201,CGV97_mgt11,CGV97_mgt11,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352202,CGV97_mgt15,CGV97_mgt15,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352203,CGV97_mgt16,CGV97_mgt16,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352204,COX1,CGV97_mgp04,-,-,mt|MT,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,-,20170916,-
135651,33352205,CGV97_mgt17,CGV97_mgt17,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352206,CGV97_mgt21,CGV97_mgt21,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352207,ND5,CGV97_mgp01,-,-,mt|MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170916,-
135651,33352208,CGV97_mgt22,CGV97_mgt22,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352209,CGV97_mgt01,CGV97_mgt01,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352210,CGV97_mgt02,CGV97_mgt02,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352211,ND6,CGV97_mgp12,-,-,mt|MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170916,-
135651,33352212,CGV97_mgt04,CGV97_mgt04,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352213,CGV97_mgr02,CGV97_mgr02,-,-,mt|MT,-,12S ribosomal RNA,rRNA,-,-,-,-,20170916,-
135651,33352214,CGV97_mgt05,CGV97_mgt05,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352215,CGV97_mgt06,CGV97_mgt06,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352216,CGV97_mgt07,CGV97_mgt07,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352217,ND1,CGV97_mgp10,-,-,mt|MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,-,20170916,-
135651,33352218,CGV97_mgt09,CGV97_mgt09,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352219,CGV97_mgt10,CGV97_mgt10,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352220,ND2,CGV97_mgp08,-,-,mt|MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170916,-
135651,33352221,CGV97_mgt12,CGV97_mgt12,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352222,CGV97_mgt13,CGV97_mgt13,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352223,CGV97_mgt14,CGV97_mgt14,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352224,CYTB,CGV97_mgp07,-,-,mt|MT,-,cytochrome b,protein-coding,-,-,-,-,20170916,-
135651,33352225,COX3,CGV97_mgp06,-,-,mt|MT,-,cytochrome c oxidase subunit III,protein-coding,-,-,-,-,20170916,-
135651,33352226,ND4,CGV97_mgp05,-,-,mt|MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170916,-
135651,33352227,CGV97_mgt18,CGV97_mgt18,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352228,CGV97_mgt19,CGV97_mgt19,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352229,CGV97_mgt20,CGV97_mgt20,-,-,mt|MT,-,tRNA,tRNA,-,-,-,-,20170916,-
135651,33352230,COX2,CGV97_mgp03,-,-,mt|MT,-,cytochrome c oxidase subunit II,protein-coding,-,-,-,-,20170916,-
135651,33352231,CGV97_mgr01,CGV97_mgr01,-,-,mt|MT,-,16S ribosomal RNA,rRNA,-,-,-,-,20170916,-
135651,33352232,ND3,CGV97_mgp02,-,-,mt|MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,-,20170916,-
