#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1409,25026218,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus sp..  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20190403,-
1409,39498781,EGX95_RS00740,EGX95_RS00740,EGX95_00740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498784,EGX95_RS00940,EGX95_RS00940,EGX95_00935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498796,EGX95_RS01245,EGX95_RS01245,EGX95_01240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498797,EGX95_RS00765,EGX95_RS00765,EGX95_00765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498811,EGX95_RS01185,EGX95_RS01185,EGX95_01180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498815,EGX95_RS01065,EGX95_RS01065,EGX95_01060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498817,EGX95_RS00350,EGX95_RS00350,EGX95_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498819,EGX95_RS00700,EGX95_RS00700,EGX95_00700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498827,EGX95_RS00645,EGX95_RS00645,EGX95_00645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498829,EGX95_RS00920,EGX95_RS00920,EGX95_00915,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498833,EGX95_RS00715,EGX95_RS00715,EGX95_00715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1409,39498836,EGX95_RS00455,EGX95_RS00455,EGX95_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498844,EGX95_RS01115,EGX95_RS01115,EGX95_01110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498858,EGX95_RS01105,EGX95_RS01105,EGX95_01100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498861,EGX95_RS01210,EGX95_RS01210,EGX95_01205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39498862,EGX95_RS00385,EGX95_RS00385,EGX95_00385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498867,EGX95_RS00575,EGX95_RS00575,EGX95_00575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498868,EGX95_RS01165,EGX95_RS01165,EGX95_01160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498873,EGX95_RS01045,EGX95_RS01045,EGX95_01040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498877,EGX95_RS00685,EGX95_RS00685,EGX95_00685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498879,EGX95_RS00680,EGX95_RS00680,EGX95_00680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1409,39498883,EGX95_RS01230,EGX95_RS01230,EGX95_01225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1409,39498887,EGX95_RS01405,EGX95_RS01405,EGX95_01400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498889,EGX95_RS00600,EGX95_RS00600,EGX95_00600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498892,EGX95_RS00590,EGX95_RS00590,EGX95_00590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498899,EGX95_RS00205,EGX95_RS00205,EGX95_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498908,EGX95_RS00855,EGX95_RS00855,EGX95_00855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498914,EGX95_RS00520,EGX95_RS00520,EGX95_00520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498917,EGX95_RS01110,EGX95_RS01110,EGX95_01105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498918,EGX95_RS01235,EGX95_RS01235,EGX95_01230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498921,EGX95_RS01025,EGX95_RS01025,EGX95_01020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498923,EGX95_RS01160,EGX95_RS01160,EGX95_01155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498935,EGX95_RS01765,EGX95_RS01765,EGX95_01760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498936,EGX95_RS01745,EGX95_RS01745,EGX95_01740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498937,EGX95_RS01785,EGX95_RS01785,EGX95_01780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498939,EGX95_RS01540,EGX95_RS01540,EGX95_01535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498941,EGX95_RS01570,EGX95_RS01570,EGX95_01565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498942,EGX95_RS01520,EGX95_RS01520,EGX95_01515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498946,EGX95_RS01645,EGX95_RS01645,EGX95_01640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498951,EGX95_RS01535,EGX95_RS01535,EGX95_01530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498955,EGX95_RS01585,EGX95_RS01585,EGX95_01580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498958,EGX95_RS01515,EGX95_RS01515,EGX95_01510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498959,EGX95_RS01555,EGX95_RS01555,EGX95_01550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498963,EGX95_RS01495,EGX95_RS01495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498966,EGX95_RS01580,EGX95_RS01580,EGX95_01575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498972,EGX95_RS01425,EGX95_RS01425,EGX95_01420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498975,EGX95_RS01590,EGX95_RS01590,EGX95_01585,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498976,EGX95_RS01810,EGX95_RS01810,EGX95_01805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498982,EGX95_RS01805,EGX95_RS01805,EGX95_01800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498983,EGX95_RS01815,EGX95_RS01815,EGX95_01810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498985,EGX95_RS01825,EGX95_RS01825,EGX95_01820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498986,EGX95_RS01835,EGX95_RS01835,EGX95_01830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39498987,EGX95_RS01880,EGX95_RS01880,EGX95_01875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498989,EGX95_RS01875,EGX95_RS01875,EGX95_01870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498996,EGX95_RS01920,EGX95_RS01920,EGX95_01920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39498997,EGX95_RS01885,EGX95_RS01885,EGX95_01880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499000,EGX95_RS01900,EGX95_RS01900,EGX95_01895,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499002,EGX95_RS01870,EGX95_RS01870,EGX95_01865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499004,EGX95_RS01015,EGX95_RS01015,EGX95_01010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499014,EGX95_RS00220,EGX95_RS00220,EGX95_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499018,EGX95_RS01490,EGX95_RS01490,EGX95_01490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1409,39499020,EGX95_RS01435,EGX95_RS01435,EGX95_01430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499021,EGX95_RS01465,EGX95_RS01465,EGX95_01465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499023,EGX95_RS01635,EGX95_RS01635,EGX95_01630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499027,EGX95_RS01440,EGX95_RS01440,EGX95_01435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499032,EGX95_RS01450,EGX95_RS01450,EGX95_01445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499034,EGX95_RS01500,EGX95_RS01500,EGX95_01495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499038,EGX95_RS01780,EGX95_RS01780,EGX95_01775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499044,EGX95_RS01640,EGX95_RS01640,EGX95_01635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499046,EGX95_RS01725,EGX95_RS01725,EGX95_01720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1409,39499054,EGX95_RS00065,EGX95_RS00065,EGX95_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499055,EGX95_RS00060,EGX95_RS00060,EGX95_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499057,EGX95_RS00055,EGX95_RS00055,EGX95_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499058,EGX95_RS00025,EGX95_RS00025,EGX95_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499059,EGX95_RS00010,EGX95_RS00010,EGX95_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499060,EGX95_RS00020,EGX95_RS00020,EGX95_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499061,EGX95_RS00005,EGX95_RS00005,EGX95_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499064,EGX95_RS01080,EGX95_RS01080,EGX95_01075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499066,EGX95_RS01290,EGX95_RS01290,EGX95_01285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499071,EGX95_RS00670,EGX95_RS00670,EGX95_00670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499074,EGX95_RS00675,EGX95_RS00675,EGX95_00675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1409,39499079,EGX95_RS01925,EGX95_RS01925,EGX95_01925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499083,EGX95_RS01975,EGX95_RS01975,EGX95_01975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499084,EGX95_RS02145,EGX95_RS02145,EGX95_02145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499090,EGX95_RS02135,EGX95_RS02135,EGX95_02135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499095,EGX95_RS02195,EGX95_RS02195,EGX95_02195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499097,EGX95_RS02070,EGX95_RS02070,EGX95_02070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499098,EGX95_RS02080,EGX95_RS02080,EGX95_02080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499099,EGX95_RS01980,EGX95_RS01980,EGX95_01980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499105,EGX95_RS02090,EGX95_RS02090,EGX95_02090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499106,EGX95_RS01990,EGX95_RS01990,EGX95_01990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499108,EGX95_RS02225,EGX95_RS02225,EGX95_02225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499111,EGX95_RS02125,EGX95_RS02125,EGX95_02125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499113,EGX95_RS02005,EGX95_RS02005,EGX95_02005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499114,EGX95_RS02165,EGX95_RS02165,EGX95_02165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499115,EGX95_RS02160,EGX95_RS02160,EGX95_02160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499116,EGX95_RS02100,EGX95_RS02100,EGX95_02100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499119,EGX95_RS02085,EGX95_RS02085,EGX95_02085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499122,EGX95_RS02065,EGX95_RS02065,EGX95_02065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499123,EGX95_RS02200,EGX95_RS02200,EGX95_02200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499126,EGX95_RS02075,EGX95_RS02075,EGX95_02075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499127,EGX95_RS01965,EGX95_RS01965,EGX95_01965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499128,EGX95_RS02175,EGX95_RS02175,EGX95_02175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499129,EGX95_RS02020,EGX95_RS02020,EGX95_02020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499132,EGX95_RS02035,EGX95_RS02035,EGX95_02035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1409,39499135,EGX95_RS02030,EGX95_RS02030,EGX95_02030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499138,EGX95_RS02140,EGX95_RS02140,EGX95_02140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499139,EGX95_RS02210,EGX95_RS02210,EGX95_02210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499142,EGX95_RS00555,EGX95_RS00555,EGX95_00555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499143,EGX95_RS01205,EGX95_RS01205,EGX95_01200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1409,39499160,EGX95_RS00405,EGX95_RS00405,EGX95_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1409,39499164,EGX95_RS00770,EGX95_RS00770,EGX95_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499167,EGX95_RS00465,EGX95_RS00465,EGX95_00465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499187,EGX95_RS00250,EGX95_RS00250,EGX95_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499190,EGX95_RS00430,EGX95_RS00430,EGX95_00430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1409,39499192,EGX95_RS00795,EGX95_RS00795,EGX95_00795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499195,EGX95_RS01195,EGX95_RS01195,EGX95_01190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499207,EGX95_RS00570,EGX95_RS00570,EGX95_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
1409,39499209,EGX95_RS00865,EGX95_RS00865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1409,39499212,EGX95_RS01140,EGX95_RS01140,EGX95_01135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190401,-
