#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1414736,17503417,J1_2,J1_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1414736,17503418,J1_3,J1_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503419,J1_4,J1_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1414736,17503420,J1_5,J1_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1414736,17503421,J1_7,J1_7,-,-,-,-,major capsid L,protein-coding,-,-,-,major capsid L,20200629,-
1414736,17503422,J1_9,J1_9,-,-,-,-,head tail joining protein,protein-coding,-,-,-,head tail joining protein,20200629,-
1414736,17503423,J1_10,J1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503424,J1_11,J1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503425,J1_12,J1_12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1414736,17503426,J1_14,J1_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1414736,17503427,J1_15,J1_15,-,-,-,-,tape measure,protein-coding,-,-,-,tape measure,20200629,-
1414736,17503428,J1_16,J1_16,-,-,-,-,tail component,protein-coding,-,-,-,tail component,20200629,-
1414736,17503429,J1_17,J1_17,-,-,-,-,host interaction protein,protein-coding,-,-,-,host interaction protein,20200629,-
1414736,17503430,J1_18,J1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503431,J1_19,J1_19,-,-,-,-,XkdX family protein,protein-coding,-,-,-,XkdX family protein,20201221,-
1414736,17503432,J1_20,J1_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503433,J1_21,J1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503434,J1_22,J1_22,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1414736,17503435,J1_23,J1_23,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1414736,17503436,J1_24,J1_24,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200629,-
1414736,17503437,J1_25,J1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503438,J1_26,J1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503439,J1_27,J1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503440,J1_29,J1_29,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1414736,17503441,J1_30,J1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503442,J1_32,J1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503443,J1_33,J1_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503444,J1_34,J1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503445,J1_35,J1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1414736,17503446,J1_36,J1_36,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20201221,-
1414736,17503447,J1_37,J1_37,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20201221,-
1414736,17503448,J1_38,J1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
