#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1414748,18502665,2,PBI_SUFFOLK_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1414748,18502666,3,PBI_SUFFOLK_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502667,4,PBI_SUFFOLK_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502668,5,PBI_SUFFOLK_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502669,6,PBI_SUFFOLK_6,-,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201221,-
1414748,18502670,7,PBI_SUFFOLK_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502671,8,PBI_SUFFOLK_8,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1414748,18502672,9,PBI_SUFFOLK_9,-,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201221,-
1414748,18502673,10,PBI_SUFFOLK_10,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
1414748,18502674,11,PBI_SUFFOLK_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502675,12,PBI_SUFFOLK_12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1414748,18502676,13,PBI_SUFFOLK_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502677,14,PBI_SUFFOLK_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502678,15,PBI_SUFFOLK_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502679,16,PBI_SUFFOLK_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502680,17,PBI_SUFFOLK_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502681,18,PBI_SUFFOLK_18,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1414748,18502682,19,PBI_SUFFOLK_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502683,20,PBI_SUFFOLK_20,-,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20201221,-
1414748,18502684,21,PBI_SUFFOLK_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502685,22,PBI_SUFFOLK_22,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1414748,18502686,23,PBI_SUFFOLK_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502687,24,PBI_SUFFOLK_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502688,25,PBI_SUFFOLK_25,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1414748,18502689,26,PBI_SUFFOLK_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502690,27,PBI_SUFFOLK_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502691,28,PBI_SUFFOLK_28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1414748,18502692,29,PBI_SUFFOLK_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1414748,18502693,30,PBI_SUFFOLK_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1414748,18502694,31,PBI_SUFFOLK_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1414748,18502695,32,PBI_SUFFOLK_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1414748,18502696,33,PBI_SUFFOLK_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1414748,18502697,34,PBI_SUFFOLK_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502698,35,PBI_SUFFOLK_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502699,36,PBI_SUFFOLK_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502700,37,PBI_SUFFOLK_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502701,38,PBI_SUFFOLK_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502702,39,PBI_SUFFOLK_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502703,40,PBI_SUFFOLK_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502704,41,PBI_SUFFOLK_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502705,42,PBI_SUFFOLK_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502706,43,PBI_SUFFOLK_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502707,44,PBI_SUFFOLK_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502708,45,PBI_SUFFOLK_45,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1414748,18502709,46,PBI_SUFFOLK_46,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1414748,18502710,47,PBI_SUFFOLK_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502711,48,PBI_SUFFOLK_48,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1414748,18502712,49,PBI_SUFFOLK_49,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1414748,18502713,50,PBI_SUFFOLK_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502714,51,PBI_SUFFOLK_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502715,52,PBI_SUFFOLK_52,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1414748,18502716,53,PBI_SUFFOLK_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1414748,18502717,54,PBI_SUFFOLK_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
