#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1445726,18503486,2,CH20_gp02,PBI_MICHELLEMYBELL_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1445726,18503487,3,CH20_gp03,PBI_MICHELLEMYBELL_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503488,4,CH20_gp04,PBI_MICHELLEMYBELL_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1445726,18503489,5,CH20_gp05,PBI_MICHELLEMYBELL_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1445726,18503490,6,CH20_gp06,PBI_MICHELLEMYBELL_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1445726,18503491,7,CH20_gp07,PBI_MICHELLEMYBELL_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503492,8,CH20_gp08,PBI_MICHELLEMYBELL_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503493,9,CH20_gp09,PBI_MICHELLEMYBELL_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1445726,18503494,10,CH20_gp10,PBI_MICHELLEMYBELL_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503495,11,CH20_gp11,PBI_MICHELLEMYBELL_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503496,12,CH20_gp12,PBI_MICHELLEMYBELL_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503497,13,CH20_gp13,PBI_MICHELLEMYBELL_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1445726,18503498,15,CH20_gp14,PBI_MICHELLEMYBELL_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1445726,18503499,16,CH20_gp16,PBI_MICHELLEMYBELL_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1445726,18503500,14,CH20_gp15,PBI_MICHELLEMYBELL_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1445726,18503501,17,CH20_gp17,PBI_MICHELLEMYBELL_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1445726,18503502,18,CH20_gp18,PBI_MICHELLEMYBELL_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1445726,18503503,19,CH20_gp19,PBI_MICHELLEMYBELL_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1445726,18503504,20,CH20_gp20,PBI_MICHELLEMYBELL_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1445726,18503505,21,CH20_gp21,PBI_MICHELLEMYBELL_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1445726,18503506,22,CH20_gp22,PBI_MICHELLEMYBELL_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1445726,18503507,23,CH20_gp23,PBI_MICHELLEMYBELL_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503508,24,CH20_gp24,PBI_MICHELLEMYBELL_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503509,25,CH20_gp25,PBI_MICHELLEMYBELL_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503510,26,CH20_gp26,PBI_MICHELLEMYBELL_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1445726,18503511,27,CH20_gp27,PBI_MICHELLEMYBELL_27,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1445726,18503512,28,CH20_gp28,PBI_MICHELLEMYBELL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1445726,18503513,29,CH20_gp29,PBI_MICHELLEMYBELL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503514,30,CH20_gp30,PBI_MICHELLEMYBELL_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503515,31,CH20_gp31,PBI_MICHELLEMYBELL_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503516,32,CH20_gp32,PBI_MICHELLEMYBELL_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503517,33,CH20_gp33,PBI_MICHELLEMYBELL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1445726,18503518,34,CH20_gp34,PBI_MICHELLEMYBELL_34,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210417,-
1445726,18503519,35,CH20_gp35,PBI_MICHELLEMYBELL_35,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
1445726,18503520,36,CH20_gp36,PBI_MICHELLEMYBELL_36,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
1445726,18503521,37,CH20_gp37,PBI_MICHELLEMYBELL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503522,38,CH20_gp38,PBI_MICHELLEMYBELL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503523,39,CH20_gp39,PBI_MICHELLEMYBELL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503524,40,CH20_gp40,PBI_MICHELLEMYBELL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503525,41,CH20_gp41,PBI_MICHELLEMYBELL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503526,42,CH20_gp42,PBI_MICHELLEMYBELL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503527,43,CH20_gp43,PBI_MICHELLEMYBELL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503528,44,CH20_gp44,PBI_MICHELLEMYBELL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503529,45,CH20_gp45,PBI_MICHELLEMYBELL_45,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1445726,18503530,46,CH20_gp46,PBI_MICHELLEMYBELL_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503531,47,CH20_gp47,PBI_MICHELLEMYBELL_47,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20200927,-
1445726,18503532,48,CH20_gp48,PBI_MICHELLEMYBELL_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1445726,18503533,49,CH20_gp49,PBI_MICHELLEMYBELL_49,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200927,-
1445726,18503534,50,CH20_gp50,PBI_MICHELLEMYBELL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503535,51,CH20_gp51,PBI_MICHELLEMYBELL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503536,52,CH20_gp52,PBI_MICHELLEMYBELL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503537,53,CH20_gp53,PBI_MICHELLEMYBELL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503538,54,CH20_gp54,PBI_MICHELLEMYBELL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503539,55,CH20_gp55,PBI_MICHELLEMYBELL_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503540,56,CH20_gp56,PBI_MICHELLEMYBELL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503541,57,CH20_gp57,PBI_MICHELLEMYBELL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503542,58,CH20_gp58,PBI_MICHELLEMYBELL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503543,59,CH20_gp59,PBI_MICHELLEMYBELL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503544,60,CH20_gp60,PBI_MICHELLEMYBELL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503545,61,CH20_gp61,PBI_MICHELLEMYBELL_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503546,62,CH20_gp62,PBI_MICHELLEMYBELL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503547,63,CH20_gp63,PBI_MICHELLEMYBELL_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503548,64,CH20_gp64,PBI_MICHELLEMYBELL_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503549,65,CH20_gp65,PBI_MICHELLEMYBELL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503550,66,CH20_gp66,PBI_MICHELLEMYBELL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503551,67,CH20_gp67,PBI_MICHELLEMYBELL_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503552,68,CH20_gp68,PBI_MICHELLEMYBELL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503553,69,CH20_gp69,PBI_MICHELLEMYBELL_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503554,70,CH20_gp70,PBI_MICHELLEMYBELL_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18503555,1,CH20_gp01,PBI_MICHELLEMYBELL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1445726,18558797,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage MichelleMyBell).,other,-,-,-,-,20200513,-
