#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458831,18506153,Jolie2_2,Jolie2_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1458831,18506154,Jolie2_3,Jolie2_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1458831,18506155,Jolie2_4,Jolie2_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506156,Jolie2_5,Jolie2_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506157,Jolie2_6,Jolie2_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506158,Jolie2_7,Jolie2_7,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1458831,18506159,Jolie2_8,Jolie2_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506160,Jolie2_9,Jolie2_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506161,Jolie2_10,Jolie2_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506162,Jolie2_11,Jolie2_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506163,Jolie2_12,Jolie2_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506164,Jolie2_13,Jolie2_13,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1458831,18506165,Jolie2_15,Jolie2_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458831,18506166,Jolie2_16,Jolie2_16,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1458831,18506167,Jolie2_14,Jolie2_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1458831,18506168,Jolie2_17,Jolie2_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506169,Jolie2_18,Jolie2_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458831,18506170,Jolie2_19,Jolie2_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458831,18506171,Jolie2_20,Jolie2_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1458831,18506172,Jolie2_21,Jolie2_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506173,Jolie2_22,Jolie2_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506174,Jolie2_23,Jolie2_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506175,Jolie2_24,Jolie2_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458831,18506176,Jolie2_25,Jolie2_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
