#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1476978,40102755,FDJ59_gp02,FDJ59_gp02,CO47_0097,-,-,-,tape measure domain protein,protein-coding,-,-,-,tape measure domain protein,20201221,-
1476978,40102756,FDJ59_gp03,FDJ59_gp03,CO47_0098,-,-,-,transglycosylase SLT domain protein,protein-coding,-,-,-,transglycosylase SLT domain protein,20201221,-
1476978,40102757,FDJ59_gp04,FDJ59_gp04,CO47_0099,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201221,-
1476978,40102758,FDJ59_gp05,FDJ59_gp05,CO47_0100,-,-,-,minor structural N-terminal region domain protein,protein-coding,-,-,-,minor structural N-terminal region domain protein,20201221,-
1476978,40102759,FDJ59_gp06,FDJ59_gp06,CO47_0101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102760,FDJ59_gp07,FDJ59_gp07,CO47_0102,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20201221,-
1476978,40102761,FDJ59_gp08,FDJ59_gp08,CO47_0103,-,-,-,holin,protein-coding,-,-,-,holin,20210123,-
1476978,40102762,FDJ59_gp09,FDJ59_gp09,CO47_0104,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase family protein,20201221,-
1476978,40102763,FDJ59_gp10,FDJ59_gp10,CO47_0105,-,-,-,glutaredoxin family protein,protein-coding,-,-,-,glutaredoxin family protein,20210424,-
1476978,40102764,FDJ59_gp11,FDJ59_gp11,CO47_0106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102765,FDJ59_gp12,FDJ59_gp12,CO47_0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102766,FDJ59_gp13,FDJ59_gp13,CO47_0108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102767,FDJ59_gp14,FDJ59_gp14,CO47_0109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102768,FDJ59_gp15,FDJ59_gp15,CO47_0110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102769,FDJ59_gp16,FDJ59_gp16,CO47_0111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102770,FDJ59_gp17,FDJ59_gp17,CO47_0112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102771,FDJ59_gp18,FDJ59_gp18,CO47_0113,-,-,-,beta-lactamase superfamily domain protein,protein-coding,-,-,-,beta-lactamase superfamily domain protein,20201221,-
1476978,40102772,FDJ59_gp19,FDJ59_gp19,CO47_0114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102773,FDJ59_gp20,FDJ59_gp20,CO47_0115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102774,FDJ59_gp21,FDJ59_gp21,CO47_0116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102775,FDJ59_gp22,FDJ59_gp22,CO47_0117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102776,FDJ59_gp23,FDJ59_gp23,CO47_0118,-,-,-,bifunctional DNA primase/polymerase family protein,protein-coding,-,-,-,bifunctional DNA primase/polymerase family protein,20201221,-
1476978,40102777,FDJ59_gp24,FDJ59_gp24,CO47_0119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102778,FDJ59_gp25,FDJ59_gp25,CO47_0120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102779,FDJ59_gp26,FDJ59_gp26,CO47_0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102780,FDJ59_gp27,FDJ59_gp27,CO47_0122,-,-,-,DNA methylase family protein,protein-coding,-,-,-,DNA methylase family protein,20201221,-
1476978,40102781,FDJ59_gp28,FDJ59_gp28,CO47_0123,-,-,-,"type III restriction enzyme, res subunit",protein-coding,-,-,-,"type III restriction enzyme, res subunit",20201221,-
1476978,40102782,FDJ59_gp29,FDJ59_gp29,CO47_0124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102783,FDJ59_gp30,FDJ59_gp30,CO47_0125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102784,FDJ59_gp31,FDJ59_gp31,CO47_0126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102785,FDJ59_gp32,FDJ59_gp32,CO47_0127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102786,FDJ59_gp33,FDJ59_gp33,CO47_0128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102787,FDJ59_gp34,FDJ59_gp34,CO47_0129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102788,FDJ59_gp35,FDJ59_gp35,CO47_0130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1476978,40102789,FDJ59_gp36,FDJ59_gp36,CO47_0131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102790,FDJ59_gp37,FDJ59_gp37,CO47_0132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102791,FDJ59_gp38,FDJ59_gp38,CO47_0133,-,-,-,P4 family primase C-terminal domain protein,protein-coding,-,-,-,P4 family primase C-terminal domain protein,20201221,-
1476978,40102792,FDJ59_gp39,FDJ59_gp39,CO47_0134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102793,FDJ59_gp40,FDJ59_gp40,CO47_0135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102794,FDJ59_gp41,FDJ59_gp41,CO47_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102795,FDJ59_gp42,FDJ59_gp42,CO47_0137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102796,FDJ59_gp43,FDJ59_gp43,CO47_0138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102797,FDJ59_gp44,FDJ59_gp44,CO47_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102798,FDJ59_gp45,FDJ59_gp45,CO47_0140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102799,FDJ59_gp46,FDJ59_gp46,CO47_0141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1476978,40102800,FDJ59_gp47,FDJ59_gp47,CO47_0142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
