#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481186,22112401,vB_AbaM_Acibel004_2,vB_AbaM_Acibel004_2,-,-,-,-,putative DnaG-like primase,protein-coding,-,-,-,putative DnaG-like primase,20200910,-
1481186,22112402,vB_AbaM_Acibel004_3,vB_AbaM_Acibel004_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112403,vB_AbaM_Acibel004_4,vB_AbaM_Acibel004_4,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200910,-
1481186,22112404,vB_AbaM_Acibel004_5,vB_AbaM_Acibel004_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112405,vB_AbaM_Acibel004_6,vB_AbaM_Acibel004_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112406,vB_AbaM_Acibel004_7,vB_AbaM_Acibel004_7,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112407,vB_AbaM_Acibel004_8,vB_AbaM_Acibel004_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112408,vB_AbaM_Acibel004_9,vB_AbaM_Acibel004_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112409,vB_AbaM_Acibel004_10,vB_AbaM_Acibel004_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112410,vB_AbaM_Acibel004_11,vB_AbaM_Acibel004_11,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200910,-
1481186,22112411,vB_AbaM_Acibel004_12,vB_AbaM_Acibel004_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112412,vB_AbaM_Acibel004_13,vB_AbaM_Acibel004_13,-,-,-,-,putative HNH endonuclease protein,protein-coding,-,-,-,putative HNH endonuclease protein,20200910,-
1481186,22112413,vB_AbaM_Acibel004_14,vB_AbaM_Acibel004_14,-,-,-,-,putative DNA polymerase II,protein-coding,-,-,-,putative DNA polymerase II,20200910,-
1481186,22112414,vB_AbaM_Acibel004_15,vB_AbaM_Acibel004_15,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112415,vB_AbaM_Acibel004_16,vB_AbaM_Acibel004_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112416,vB_AbaM_Acibel004_17,vB_AbaM_Acibel004_17,-,-,-,-,putative ribonucleoside-diphosphate reductase,protein-coding,-,-,-,putative ribonucleoside-diphosphate reductase,20200910,-
1481186,22112417,vB_AbaM_Acibel004_18,vB_AbaM_Acibel004_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112418,vB_AbaM_Acibel004_19,vB_AbaM_Acibel004_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1481186,22112419,vB_AbaM_Acibel004_20,vB_AbaM_Acibel004_20,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1481186,22112420,vB_AbaM_Acibel004_21,vB_AbaM_Acibel004_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
