#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481187,22112134,vB_AbaP_Acibel007_2,vB_AbaP_Acibel007_2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112135,vB_AbaP_Acibel007_3,vB_AbaP_Acibel007_3,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481187,22112136,vB_AbaP_Acibel007_4,vB_AbaP_Acibel007_4,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481187,22112137,vB_AbaP_Acibel007_5,vB_AbaP_Acibel007_5,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481187,22112138,vB_AbaP_Acibel007_6,vB_AbaP_Acibel007_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112139,vB_AbaP_Acibel007_7,vB_AbaP_Acibel007_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112140,vB_AbaP_Acibel007_8,vB_AbaP_Acibel007_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112141,vB_AbaP_Acibel007_9,vB_AbaP_Acibel007_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112142,vB_AbaP_Acibel007_10,vB_AbaP_Acibel007_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112143,vB_AbaP_Acibel007_11,vB_AbaP_Acibel007_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112144,vB_AbaP_Acibel007_12,vB_AbaP_Acibel007_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112145,vB_AbaP_Acibel007_13,vB_AbaP_Acibel007_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112146,vB_AbaP_Acibel007_14,vB_AbaP_Acibel007_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112147,vB_AbaP_Acibel007_15,vB_AbaP_Acibel007_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112148,dnaG,vB_AbaP_Acibel007_16,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1481187,22112149,vB_AbaP_Acibel007_17,vB_AbaP_Acibel007_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112150,vB_AbaP_Acibel007_18,vB_AbaP_Acibel007_18,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1481187,22112151,vB_AbaP_Acibel007_19,vB_AbaP_Acibel007_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112152,vB_AbaP_Acibel007_20,vB_AbaP_Acibel007_20,-,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20201221,-
1481187,22112153,vB_AbaP_Acibel007_21,vB_AbaP_Acibel007_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112154,vB_AbaP_Acibel007_22,vB_AbaP_Acibel007_22,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1481187,22112155,vB_AbaP_Acibel007_23,vB_AbaP_Acibel007_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481187,22112156,vB_AbaP_Acibel007_24,vB_AbaP_Acibel007_24,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481187,22112157,vB_AbaP_Acibel007_25,vB_AbaP_Acibel007_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
