#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1498228,22109373,PPF1_02,PPF1_02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1498228,22109374,PPF1_03,PPF1_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1498228,22109375,PPF1_04,PPF1_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109376,PPF1_05,PPF1_05,-,-,-,-,putative periplasmic serine protease,protein-coding,-,-,-,putative periplasmic serine protease,20200629,-
1498228,22109377,PPF1_06,PPF1_06,-,-,-,-,putative lytic murein transglycosylase,protein-coding,-,-,-,putative lytic murein transglycosylase,20200629,-
1498228,22109378,PPF1_07,PPF1_07,-,-,-,-,putative head decorative protein,protein-coding,-,-,-,putative head decorative protein,20200629,-
1498228,22109379,PPF1_08,PPF1_08,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
1498228,22109380,PPF1_09,PPF1_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109381,PPF1_10,PPF1_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109382,PPF1_11,PPF1_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109383,PPF1_12,PPF1_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109384,PPF1_13,PPF1_13,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1498228,22109385,PPF1_14,PPF1_14,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210123,-
1498228,22109386,PPF1_15,PPF1_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109387,PPF1_16,PPF1_16,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
1498228,22109388,PPF1_17,PPF1_17,-,-,-,-,putative tail/DNA circulation protein,protein-coding,-,-,-,putative tail/DNA circulation protein,20200629,-
1498228,22109389,PPF1_18,PPF1_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109390,PPF1_19,PPF1_19,-,-,-,-,tail protein GpP,protein-coding,-,-,-,tail protein GpP,20200629,-
1498228,22109391,PPF1_20,PPF1_20,-,-,-,-,baseplate assembly protein V,protein-coding,-,-,-,baseplate assembly protein V,20200629,-
1498228,22109392,PPF1_21,PPF1_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109393,PPF1_22,PPF1_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109394,PPF1_23,PPF1_23,-,-,-,-,putative baseplate J-like protein,protein-coding,-,-,-,putative baseplate J-like protein,20200629,-
1498228,22109395,PPF1_24,PPF1_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109396,PPF1_25,PPF1_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109397,PPF1_26,PPF1_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109398,PPF1_27,PPF1_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109399,PPF1_28,PPF1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109400,PPF1_29,PPF1_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109401,PPF1_30,PPF1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109402,PPF1_31,PPF1_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109403,PPF1_32,PPF1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109404,PPF1_33,PPF1_33,-,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,putative N-acetylmuramoyl-L-alanine amidase,20200629,-
1498228,22109405,PPF1_34,PPF1_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109406,PPF1_35,PPF1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109407,PPF1_36,PPF1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109408,PPF1_37,PPF1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109409,PPF1_38,PPF1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109410,PPF1_39,PPF1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109411,PPF1_40,PPF1_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109412,PPF1_41,PPF1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109413,PPF1_42,PPF1_42,-,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20200629,-
1498228,22109414,PPF1_43,PPF1_43,-,-,-,-,putative site-specific integrase/recombinase,protein-coding,-,-,-,putative site-specific integrase/recombinase,20200629,-
1498228,22109415,PPF1_44,PPF1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109416,PPF1_45,PPF1_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109417,PPF1_46,PPF1_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109418,PPF1_47,PPF1_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109419,PPF1_48,PPF1_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109420,PPF1_49,PPF1_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109421,PPF1_50,PPF1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109422,PPF1_51,PPF1_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109423,PPF1_52,PPF1_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109424,PPF1_53,PPF1_53,-,-,-,-,putative PRK12775-containing protein,protein-coding,-,-,-,putative PRK12775-containing protein,20200629,-
1498228,22109425,PPF1_54,PPF1_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109426,PPF1_55,PPF1_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109427,PPF1_56,PPF1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109428,PPF1_57,PPF1_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109429,PPF1_58,PPF1_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109430,PPF1_59,PPF1_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109431,PPF1_60,PPF1_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109432,PPF1_61,PPF1_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109433,PPF1_62,PPF1_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109434,PPF1_63,PPF1_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109435,PPF1_64,PPF1_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109436,PPF1_65,PPF1_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109437,PPF1_66,PPF1_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109438,PPF1_67,PPF1_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109439,PPF1_68,PPF1_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109440,PPF1_69,PPF1_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109441,PPF1_70,PPF1_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109442,PPF1_71,PPF1_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109443,PPF1_72,PPF1_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109444,PPF1_73,PPF1_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109445,PPF1_74,PPF1_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109446,PPF1_75,PPF1_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109447,PPF1_76,PPF1_76,-,-,-,-,putative transcriptional regulator with HTH domain,protein-coding,-,-,-,putative transcriptional regulator with HTH domain,20200629,-
1498228,22109448,PPF1_77,PPF1_77,-,-,-,-,HTH family protein,protein-coding,-,-,-,HTH family protein,20200629,-
1498228,22109449,PPF1_78,PPF1_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109450,PPF1_79,PPF1_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109451,PPF1_80,PPF1_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109452,PPF1_81,PPF1_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109453,PPF1_82,PPF1_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109454,PPF1_83,PPF1_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109455,PPF1_84,PPF1_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109456,PPF1_85,PPF1_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109457,PPF1_86,PPF1_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109458,PPF1_87,PPF1_87,-,-,-,-,C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase,20200629,-
1498228,22109459,PPF1_88,PPF1_88,-,-,-,-,putative adenine-specific methyltransferase,protein-coding,-,-,-,putative adenine-specific methyltransferase,20200629,-
1498228,22109460,PPF1_89,PPF1_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109461,PPF1_90,PPF1_90,-,-,-,-,putative transcriptional regulator with a HTH domain,protein-coding,-,-,-,putative transcriptional regulator with a HTH domain,20200629,-
1498228,22109462,PPF1_91,PPF1_91,-,-,-,-,transcription antitermination protein NusG,protein-coding,-,-,-,transcription antitermination protein NusG,20200629,-
1498228,22109463,PPF1_92,PPF1_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109464,PPF1_93,PPF1_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22109465,PPF1_94,PPF1_94,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20200629,-
1498228,22109466,PPF1_01,PPF1_01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1498228,22203814,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
