#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500798,24721953,ACQ85_gp02,ACQ85_gp02,PHL009M11_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500798,24721954,ACQ85_gp03,ACQ85_gp03,PHL009M11_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500798,24721955,ACQ85_gp04,ACQ85_gp04,PHL009M11_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721956,ACQ85_gp05,ACQ85_gp05,PHL009M11_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500798,24721957,ACQ85_gp06,ACQ85_gp06,PHL009M11_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500798,24721958,ACQ85_gp07,ACQ85_gp07,PHL009M11_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721959,ACQ85_gp08,ACQ85_gp08,PHL009M11_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721960,ACQ85_gp09,ACQ85_gp09,PHL009M11_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721961,ACQ85_gp10,ACQ85_gp10,PHL009M11_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721962,ACQ85_gp11,ACQ85_gp11,PHL009M11_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500798,24721963,ACQ85_gp12,ACQ85_gp12,PHL009M11_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721964,ACQ85_gp13,ACQ85_gp13,PHL009M11_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721965,ACQ85_gp14,ACQ85_gp14,PHL009M11_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500798,24721966,ACQ85_gp15,ACQ85_gp15,PHL009M11_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500798,24721967,ACQ85_gp16,ACQ85_gp16,PHL009M11_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500798,24721968,ACQ85_gp17,ACQ85_gp17,PHL009M11_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721969,ACQ85_gp18,ACQ85_gp18,PHL009M11_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721970,ACQ85_gp19,ACQ85_gp19,PHL009M11_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500798,24721971,ACQ85_gp20,ACQ85_gp20,PHL009M11_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500798,24721972,ACQ85_gp21,ACQ85_gp21,PHL009M11_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500798,24721973,ACQ85_gp22,ACQ85_gp22,PHL009M11_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721974,ACQ85_gp23,ACQ85_gp23,PHL009M11_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500798,24721975,ACQ85_gp24,ACQ85_gp24,PHL009M11_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721976,ACQ85_gp25,ACQ85_gp25,PHL009M11_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721977,ACQ85_gp26,ACQ85_gp26,PHL009M11_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721978,ACQ85_gp27,ACQ85_gp27,PHL009M11_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500798,24721979,ACQ85_gp28,ACQ85_gp28,PHL009M11_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
