#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500822,24576466,ACJ78_gp02,ACJ78_gp02,PHL150M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500822,24576467,ACJ78_gp03,ACJ78_gp03,PHL150M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500822,24576468,ACJ78_gp04,ACJ78_gp04,PHL150M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576469,ACJ78_gp05,ACJ78_gp05,PHL150M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500822,24576470,ACJ78_gp06,ACJ78_gp06,PHL150M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500822,24576471,ACJ78_gp07,ACJ78_gp07,PHL150M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576472,ACJ78_gp08,ACJ78_gp08,PHL150M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576473,ACJ78_gp09,ACJ78_gp09,PHL150M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576474,ACJ78_gp10,ACJ78_gp10,PHL150M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576475,ACJ78_gp11,ACJ78_gp11,PHL150M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500822,24576476,ACJ78_gp12,ACJ78_gp12,PHL150M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576477,ACJ78_gp13,ACJ78_gp13,PHL150M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500822,24576478,ACJ78_gp14,ACJ78_gp14,PHL150M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
