#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500824,40079649,FDH78_gp02,FDH78_gp02,PHL151N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500824,40079650,FDH78_gp03,FDH78_gp03,PHL151N00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500824,40079651,FDH78_gp04,FDH78_gp04,PHL151N00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079652,FDH78_gp05,FDH78_gp05,PHL151N00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500824,40079653,FDH78_gp06,FDH78_gp06,PHL151N00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500824,40079654,FDH78_gp07,FDH78_gp07,PHL151N00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079655,FDH78_gp08,FDH78_gp08,PHL151N00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079656,FDH78_gp09,FDH78_gp09,PHL151N00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079657,FDH78_gp10,FDH78_gp10,PHL151N00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079658,FDH78_gp11,FDH78_gp11,PHL151N00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500824,40079659,FDH78_gp12,FDH78_gp12,PHL151N00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079660,FDH78_gp13,FDH78_gp13,PHL151N00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079661,FDH78_gp14,FDH78_gp14,PHL151N00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500824,40079662,FDH78_gp15,FDH78_gp15,PHL151N00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500824,40079663,FDH78_gp16,FDH78_gp16,PHL151N00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500824,40079664,FDH78_gp17,FDH78_gp17,PHL151N00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079665,FDH78_gp18,FDH78_gp18,PHL151N00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079666,FDH78_gp19,FDH78_gp19,PHL151N00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500824,40079667,FDH78_gp20,FDH78_gp20,PHL151N00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500824,40079668,FDH78_gp21,FDH78_gp21,PHL151N00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500824,40079669,FDH78_gp22,FDH78_gp22,PHL151N00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079670,FDH78_gp23,FDH78_gp23,PHL151N00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500824,40079671,FDH78_gp24,FDH78_gp24,PHL151N00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079672,FDH78_gp25,FDH78_gp25,PHL151N00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079673,FDH78_gp26,FDH78_gp26,PHL151N00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079674,FDH78_gp27,FDH78_gp27,PHL151N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079675,FDH78_gp28,FDH78_gp28,PHL151N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079676,FDH78_gp29,FDH78_gp29,PHL151N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079677,FDH78_gp30,FDH78_gp30,PHL151N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500824,40079678,FDH78_gp31,FDH78_gp31,PHL151N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500824,40079679,FDH78_gp32,FDH78_gp32,PHL151N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079680,FDH78_gp33,FDH78_gp33,PHL151N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500824,40079681,FDH78_gp34,FDH78_gp34,PHL151N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079682,FDH78_gp35,FDH78_gp35,PHL151N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079683,FDH78_gp36,FDH78_gp36,PHL151N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500824,40079684,FDH78_gp37,FDH78_gp37,PHL151N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079685,FDH78_gp38,FDH78_gp38,PHL151N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079686,FDH78_gp39,FDH78_gp39,PHL151N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079687,FDH78_gp40,FDH78_gp40,PHL151N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500824,40079688,FDH78_gp41,FDH78_gp41,PHL151N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
