#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1526408,22110048,P108_0002,P108_0002,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1526408,22110049,P108_0003,P108_0003,-,-,-,-,TmpC,protein-coding,-,-,-,TmpC,20200629,-
1526408,22110050,P108_0004,P108_0004,-,-,-,-,tail lysin,protein-coding,-,-,-,tail lysin,20200629,-
1526408,22110051,P108_0005,P108_0005,-,-,-,-,TmpD,protein-coding,-,-,-,TmpD,20200629,-
1526408,22110052,P108_0006,P108_0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110053,P108_0007,P108_0007,-,-,-,-,putative glycerophosphoryl diester phosphodiesterase,protein-coding,-,-,-,putative glycerophosphoryl diester phosphodiesterase,20201026,-
1526408,22110054,P108_0008,P108_0008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110055,P108_0009,P108_0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110056,P108_0010,P108_0010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110057,P108_0011,P108_0011,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210212,-
1526408,22110058,P108_0012,P108_0012,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201026,-
1526408,22110059,P108_0013,P108_0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110060,P108_0014,P108_0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110061,P108_0015,P108_0015,-,-,-,-,adsorption-associated tail protein,protein-coding,-,-,-,adsorption-associated tail protein,20201026,-
1526408,22110062,P108_0016,P108_0016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110063,P108_0017,P108_0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110064,P108_0018,P108_0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110065,P108_0019,P108_0019,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1526408,22110066,P108_0020,P108_0020,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1526408,22110067,P108_0021,P108_0021,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1526408,22110068,P108_0022,P108_0022,-,-,-,-,putative Rep protein,protein-coding,-,-,-,putative Rep protein,20200629,-
1526408,22110069,P108_0023,P108_0023,-,-,-,-,helicase DnaB-like,protein-coding,-,-,-,helicase DnaB-like,20201026,-
1526408,22110070,P108_0024,P108_0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110071,P108_0025,P108_0025,-,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20201026,-
1526408,22110072,P108_0026,P108_0026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110073,P108_0027,P108_0027,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20201026,-
1526408,22110074,P108_0028,P108_0028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110075,P108_0029,P108_0029,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1526408,22110076,P108_0030,P108_0030,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1526408,22110077,P108_0031,P108_0031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110078,P108_0032,P108_0032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110079,P108_0033,P108_0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1526408,22110080,P108_0034,P108_0034,-,-,-,-,putative NrdI protein,protein-coding,-,-,-,putative NrdI protein,20210406,-
1526408,22110081,P108_0035,P108_0035,-,-,-,-,putative ribonucleotide reductase large subunit,protein-coding,-,-,-,putative ribonucleotide reductase large subunit,20201026,-
1526408,22110082,P108_0036,P108_0036,-,-,-,-,ribonucleoside-diphosphate beta subunit,protein-coding,-,-,-,ribonucleoside-diphosphate beta subunit,20210424,-
1526408,22110083,P108_0037,P108_0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110084,P108_0038,P108_0038,-,-,-,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20210424,-
1526408,22110085,P108_0039,P108_0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110086,P108_0040,P108_0040,-,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20210212,-
1526408,22110087,P108_0041,P108_0041,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1526408,22110088,P108_0042,P108_0042,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1526408,22110089,P108_0043,P108_0043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110090,P108_0044,P108_0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1526408,22110091,P108_0045,P108_0045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110092,P108_0046,P108_0046,-,-,-,-,putative DNA repair protein,protein-coding,-,-,-,putative DNA repair protein,20200905,-
1526408,22110093,P108_0047,P108_0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1526408,22110094,P108_0048,P108_0048,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210212,-
