#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527493,23680169,2,PBI_SPARKY_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
1527493,23680170,3,PBI_SPARKY_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
1527493,23680171,4,PBI_SPARKY_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
1527493,23680172,5,PBI_SPARKY_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
1527493,23680173,6,PBI_SPARKY_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
1527493,23680174,7,PBI_SPARKY_7,-,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200910,-
1527493,23680175,8,PBI_SPARKY_8,-,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200910,-
1527493,23680176,9,PBI_SPARKY_9,-,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200910,-
1527493,23680177,10,PBI_SPARKY_10,-,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200910,-
1527493,23680178,11,PBI_SPARKY_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200910,-
1527493,23680179,13,PBI_SPARKY_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1527493,23680180,14,PBI_SPARKY_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200910,-
1527493,23680181,12,PBI_SPARKY_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
1527493,23680182,15,PBI_SPARKY_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1527493,23680183,16,PBI_SPARKY_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1527493,23680184,17,PBI_SPARKY_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1527493,23680185,18,PBI_SPARKY_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1527493,23680186,19,PBI_SPARKY_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1527493,23680187,20,PBI_SPARKY_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680188,21,PBI_SPARKY_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680189,22,PBI_SPARKY_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680190,23,PBI_SPARKY_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680191,24,PBI_SPARKY_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680192,25,PBI_SPARKY_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680193,26,PBI_SPARKY_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
1527493,23680194,27,PBI_SPARKY_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200910,-
1527493,23680195,28,PBI_SPARKY_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680196,29,PBI_SPARKY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680197,30,PBI_SPARKY_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680198,31,PBI_SPARKY_31,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1527493,23680199,32,PBI_SPARKY_32,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1527493,23680200,33,PBI_SPARKY_33,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1527493,23680201,34,PBI_SPARKY_34,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1527493,23680202,35,PBI_SPARKY_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1527493,23680203,36,PBI_SPARKY_36,-,-,-,-,Ro protein,protein-coding,-,-,-,Ro protein,20200910,-
