#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527531,26631535,AVV39_gp002,AVV39_gp002,HY02_002,-,-,-,putative rIIB,protein-coding,-,-,-,putative rIIB,20200629,-
1527531,26631536,AVV39_gp003,AVV39_gp003,HY02_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631537,AVV39_gp004,AVV39_gp004,HY02_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631538,AVV39_gp005,AVV39_gp005,HY02_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631539,AVV39_gp006,AVV39_gp006,HY02_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631540,AVV39_gp007,AVV39_gp007,HY02_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631541,AVV39_gp008,AVV39_gp008,HY02_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631542,AVV39_gp009,AVV39_gp009,HY02_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631543,AVV39_gp010,AVV39_gp010,HY02_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631544,AVV39_gp011,AVV39_gp011,HY02_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631545,AVV39_gp012,AVV39_gp012,HY02_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631546,AVV39_gp013,AVV39_gp013,HY02_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631547,AVV39_gp014,AVV39_gp014,HY02_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631548,AVV39_gp015,AVV39_gp015,HY02_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631549,AVV39_gp016,AVV39_gp016,HY02_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631550,AVV39_gp017,AVV39_gp017,HY02_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631551,AVV39_gp018,AVV39_gp018,HY02_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631552,AVV39_gp019,AVV39_gp019,HY02_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631553,AVV39_gp020,AVV39_gp020,HY02_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631554,AVV39_gp021,AVV39_gp021,HY02_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631555,AVV39_gp022,AVV39_gp022,HY02_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631556,AVV39_gp023,AVV39_gp023,HY02_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631557,AVV39_gp024,AVV39_gp024,HY02_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631558,AVV39_gp025,AVV39_gp025,HY02_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631559,AVV39_gp026,AVV39_gp026,HY02_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631560,AVV39_gp027,AVV39_gp027,HY02_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631561,AVV39_gp028,AVV39_gp028,HY02_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631562,AVV39_gp029,AVV39_gp029,HY02_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631563,AVV39_gp030,AVV39_gp030,HY02_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631564,AVV39_gp031,AVV39_gp031,HY02_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631565,AVV39_gp032,AVV39_gp032,HY02_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631566,AVV39_gp033,AVV39_gp033,HY02_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631567,AVV39_gp034,AVV39_gp034,HY02_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631568,AVV39_gp035,AVV39_gp035,HY02_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631569,AVV39_gp036,AVV39_gp036,HY02_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631570,AVV39_gp037,AVV39_gp037,HY02_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631571,AVV39_gp038,AVV39_gp038,HY02_038,-,-,-,lysin,protein-coding,-,-,-,lysin,20210212,-
1527531,26631572,AVV39_gp039,AVV39_gp039,HY02_039,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1527531,26631573,AVV39_gp040,AVV39_gp040,HY02_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631574,AVV39_gp041,AVV39_gp041,HY02_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631575,AVV39_gp042,AVV39_gp042,HY02_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631576,AVV39_gp043,AVV39_gp043,HY02_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631577,AVV39_gp044,AVV39_gp044,HY02_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1527531,26631578,AVV39_gp045,AVV39_gp045,HY02_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631579,AVV39_gp046,AVV39_gp046,HY02_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631580,AVV39_gp047,AVV39_gp047,HY02_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631581,AVV39_gp048,AVV39_gp048,HY02_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631582,AVV39_gp049,AVV39_gp049,HY02_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631583,AVV39_gp050,AVV39_gp050,HY02_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631584,AVV39_gp051,AVV39_gp051,HY02_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631585,AVV39_gp052,AVV39_gp052,HY02_052,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1527531,26631586,AVV39_gp053,AVV39_gp053,HY02_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631587,AVV39_gp054,AVV39_gp054,HY02_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631588,AVV39_gp055,AVV39_gp055,HY02_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631589,AVV39_gp056,AVV39_gp056,HY02_056,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20201221,-
1527531,26631590,AVV39_gp057,AVV39_gp057,HY02_057,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1527531,26631591,AVV39_gp058,AVV39_gp058,HY02_058,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
1527531,26631592,AVV39_gp059,AVV39_gp059,HY02_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631593,AVV39_gp060,AVV39_gp060,HY02_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527531,26631594,AVV39_gp061,AVV39_gp061,HY02_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
