#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527534,26635292,AVV40_gp02,AVV40_gp02,PBI_SWIRLEY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200622,-
1527534,26635293,AVV40_gp03,AVV40_gp03,PBI_SWIRLEY_3,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200622,-
1527534,26635294,AVV40_gp04,AVV40_gp04,PBI_SWIRLEY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635295,AVV40_gp05,AVV40_gp05,PBI_SWIRLEY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635296,AVV40_gt01,AVV40_gt01,PBI_SWIRLEY_6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1527534,26635297,AVV40_gp87,AVV40_gp87,PBI_SWIRLEY_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200622,-
1527534,26635298,AVV40_gp86,AVV40_gp86,PBI_SWIRLEY_8,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200622,-
1527534,26635299,AVV40_gp85,AVV40_gp85,PBI_SWIRLEY_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200622,-
1527534,26635300,AVV40_gp84,AVV40_gp84,PBI_SWIRLEY_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200622,-
1527534,26635301,AVV40_gp83,AVV40_gp83,PBI_SWIRLEY_11,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200622,-
1527534,26635302,AVV40_gp82,AVV40_gp82,PBI_SWIRLEY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635303,AVV40_gp81,AVV40_gp81,PBI_SWIRLEY_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200622,-
1527534,26635304,AVV40_gp80,AVV40_gp80,PBI_SWIRLEY_14,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200622,-
1527534,26635305,AVV40_gp79,AVV40_gp79,PBI_SWIRLEY_15,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200622,-
1527534,26635306,AVV40_gp78,AVV40_gp78,PBI_SWIRLEY_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200622,-
1527534,26635307,AVV40_gp77,AVV40_gp77,PBI_SWIRLEY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635308,AVV40_gp76,AVV40_gp76,PBI_SWIRLEY_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200622,-
1527534,26635309,AVV40_gp75,AVV40_gp75,PBI_SWIRLEY_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200622,-
1527534,26635310,AVV40_gp73,AVV40_gp73,PBI_SWIRLEY_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1527534,26635311,AVV40_gp72,AVV40_gp72,PBI_SWIRLEY_22,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200622,-
1527534,26635312,AVV40_gp74,AVV40_gp74,PBI_SWIRLEY_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200622,-
1527534,26635313,AVV40_gp71,AVV40_gp71,PBI_SWIRLEY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1527534,26635314,AVV40_gp70,AVV40_gp70,PBI_SWIRLEY_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1527534,26635315,AVV40_gp69,AVV40_gp69,PBI_SWIRLEY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635316,AVV40_gp68,AVV40_gp68,PBI_SWIRLEY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635317,AVV40_gp67,AVV40_gp67,PBI_SWIRLEY_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1527534,26635318,AVV40_gp66,AVV40_gp66,PBI_SWIRLEY_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1527534,26635319,AVV40_gp65,AVV40_gp65,PBI_SWIRLEY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635320,AVV40_gp64,AVV40_gp64,PBI_SWIRLEY_30,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200622,-
1527534,26635321,AVV40_gp63,AVV40_gp63,PBI_SWIRLEY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635322,AVV40_gp62,AVV40_gp62,PBI_SWIRLEY_32,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200622,-
1527534,26635323,AVV40_gp61,AVV40_gp61,PBI_SWIRLEY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635324,AVV40_gp60,AVV40_gp60,PBI_SWIRLEY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635325,AVV40_gp59,AVV40_gp59,PBI_SWIRLEY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635326,AVV40_gp58,AVV40_gp58,PBI_SWIRLEY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635327,AVV40_gp57,AVV40_gp57,PBI_SWIRLEY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635328,AVV40_gp56,AVV40_gp56,PBI_SWIRLEY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635329,AVV40_gp55,AVV40_gp55,PBI_SWIRLEY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635330,AVV40_gp54,AVV40_gp54,PBI_SWIRLEY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635331,AVV40_gp53,AVV40_gp53,PBI_SWIRLEY_41,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200622,-
1527534,26635332,AVV40_gp52,AVV40_gp52,PBI_SWIRLEY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635333,AVV40_gp51,AVV40_gp51,PBI_SWIRLEY_43,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200622,-
1527534,26635334,AVV40_gp50,AVV40_gp50,PBI_SWIRLEY_44,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200622,-
1527534,26635335,AVV40_gp49,AVV40_gp49,PBI_SWIRLEY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635336,AVV40_gp48,AVV40_gp48,PBI_SWIRLEY_46,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200622,-
1527534,26635337,AVV40_gp47,AVV40_gp47,PBI_SWIRLEY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635338,AVV40_gp46,AVV40_gp46,PBI_SWIRLEY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635339,AVV40_gp45,AVV40_gp45,PBI_SWIRLEY_49,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200622,-
1527534,26635340,AVV40_gp44,AVV40_gp44,PBI_SWIRLEY_50,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200622,-
1527534,26635341,AVV40_gp43,AVV40_gp43,PBI_SWIRLEY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635342,AVV40_gp42,AVV40_gp42,PBI_SWIRLEY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635343,AVV40_gp41,AVV40_gp41,PBI_SWIRLEY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635344,AVV40_gp40,AVV40_gp40,PBI_SWIRLEY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635345,AVV40_gp39,AVV40_gp39,PBI_SWIRLEY_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1527534,26635346,AVV40_gp38,AVV40_gp38,PBI_SWIRLEY_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1527534,26635347,AVV40_gp37,AVV40_gp37,PBI_SWIRLEY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635348,AVV40_gp36,AVV40_gp36,PBI_SWIRLEY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635349,AVV40_gp35,AVV40_gp35,PBI_SWIRLEY_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200622,-
1527534,26635350,AVV40_gp34,AVV40_gp34,PBI_SWIRLEY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635351,AVV40_gp33,AVV40_gp33,PBI_SWIRLEY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635352,AVV40_gp32,AVV40_gp32,PBI_SWIRLEY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635353,AVV40_gp31,AVV40_gp31,PBI_SWIRLEY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635354,AVV40_gp30,AVV40_gp30,PBI_SWIRLEY_64,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200622,-
1527534,26635355,AVV40_gp29,AVV40_gp29,PBI_SWIRLEY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635356,AVV40_gp28,AVV40_gp28,PBI_SWIRLEY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635357,AVV40_gp27,AVV40_gp27,PBI_SWIRLEY_67,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200622,-
1527534,26635358,AVV40_gp26,AVV40_gp26,PBI_SWIRLEY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635359,AVV40_gp25,AVV40_gp25,PBI_SWIRLEY_69,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200622,-
1527534,26635360,AVV40_gp24,AVV40_gp24,PBI_SWIRLEY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635361,AVV40_gp23,AVV40_gp23,PBI_SWIRLEY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635362,AVV40_gp22,AVV40_gp22,PBI_SWIRLEY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635363,AVV40_gp21,AVV40_gp21,PBI_SWIRLEY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635364,AVV40_gp20,AVV40_gp20,PBI_SWIRLEY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635365,AVV40_gp19,AVV40_gp19,PBI_SWIRLEY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635366,AVV40_gp18,AVV40_gp18,PBI_SWIRLEY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635367,AVV40_gp17,AVV40_gp17,PBI_SWIRLEY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635368,AVV40_gp16,AVV40_gp16,PBI_SWIRLEY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635369,AVV40_gp15,AVV40_gp15,PBI_SWIRLEY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635370,AVV40_gp14,AVV40_gp14,PBI_SWIRLEY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527534,26635371,AVV40_gp13,AVV40_gp13,PBI_SWIRLEY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
