#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1541823,26635969,2,PBI_LLAMA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1541823,26635970,3,PBI_LLAMA_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1541823,26635971,4,PBI_LLAMA_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1541823,26635972,5,PBI_LLAMA_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1541823,26635973,6,PBI_LLAMA_6,-,-,-,-,major capsid,protein-coding,-,-,-,major capsid,20201221,-
1541823,26635974,7,PBI_LLAMA_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1541823,26635975,8,PBI_LLAMA_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1541823,26635976,9,PBI_LLAMA_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1541823,26635977,10,PBI_LLAMA_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1541823,26635978,11,PBI_LLAMA_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1541823,26635979,13,PBI_LLAMA_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1541823,26635980,14,PBI_LLAMA_14,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1541823,26635981,12,PBI_LLAMA_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1541823,26635982,15,PBI_LLAMA_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635983,16,PBI_LLAMA_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635984,17,PBI_LLAMA_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635985,18,PBI_LLAMA_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635986,19,PBI_LLAMA_19,-,-,-,-,minor tail protein (D-ala-D-ala carboxypeptidase),protein-coding,-,-,-,minor tail protein (D-ala-D-ala carboxypeptidase),20210424,-
1541823,26635987,20,PBI_LLAMA_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635988,21,PBI_LLAMA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635989,22,PBI_LLAMA_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635990,23,PBI_LLAMA_23,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635991,24,PBI_LLAMA_24,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1541823,26635992,25,PBI_LLAMA_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635993,26,PBI_LLAMA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635994,27,PBI_LLAMA_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635995,28,PBI_LLAMA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635996,29,PBI_LLAMA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26635997,30,PBI_LLAMA_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1541823,26635998,31,PBI_LLAMA_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1541823,26635999,32,PBI_LLAMA_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1541823,26636000,33,PBI_LLAMA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636001,34,PBI_LLAMA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636002,35,PBI_LLAMA_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210424,-
1541823,26636003,36,PBI_LLAMA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636004,37,PBI_LLAMA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636005,38,PBI_LLAMA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636006,39,PBI_LLAMA_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636007,40,PBI_LLAMA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636008,41,PBI_LLAMA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636009,42,PBI_LLAMA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636010,43,PBI_LLAMA_43,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210424,-
1541823,26636011,44,PBI_LLAMA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636012,45,PBI_LLAMA_45,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
1541823,26636013,46,PBI_LLAMA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636014,47,PBI_LLAMA_47,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
1541823,26636015,48,PBI_LLAMA_48,-,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1541823,26636016,49,PBI_LLAMA_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636017,50,PBI_LLAMA_50,-,-,-,-,putative antirepresser,protein-coding,-,-,-,putative antirepresser,20210424,-
1541823,26636018,51,PBI_LLAMA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636019,52,PBI_LLAMA_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636020,53,PBI_LLAMA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636021,54,PBI_LLAMA_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636022,55,PBI_LLAMA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1541823,26636023,56,PBI_LLAMA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636024,57,PBI_LLAMA_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636025,58,PBI_LLAMA_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636026,59,PBI_LLAMA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636027,60,PBI_LLAMA_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636028,61,PBI_LLAMA_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1541823,26636029,62,PBI_LLAMA_62,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1541823,26636030,63,PBI_LLAMA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636031,64,PBI_LLAMA_64,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20210424,-
1541823,26636032,65,PBI_LLAMA_65,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210417,-
1541823,26636033,66,PBI_LLAMA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636034,67,PBI_LLAMA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636035,68,PBI_LLAMA_68,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210424,-
1541823,26636036,69,PBI_LLAMA_69,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1541823,26636037,70,PBI_LLAMA_70,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1541823,26636038,71,PBI_LLAMA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636039,72,PBI_LLAMA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636040,73,PBI_LLAMA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636041,74,PBI_LLAMA_74,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1541823,26636042,75,PBI_LLAMA_75,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1541823,26636043,76,PBI_LLAMA_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636044,77,PBI_LLAMA_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636045,78,PBI_LLAMA_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636046,79,PBI_LLAMA_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636047,80,PBI_LLAMA_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636048,81,PBI_LLAMA_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636049,82,PBI_LLAMA_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636050,83,PBI_LLAMA_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636051,84,PBI_LLAMA_84,-,-,-,-,MPME2 protein,protein-coding,-,-,-,MPME2 protein,20201221,-
1541823,26636052,85,PBI_LLAMA_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636053,86,PBI_LLAMA_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636054,87,PBI_LLAMA_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636055,88,PBI_LLAMA_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636056,89,PBI_LLAMA_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636057,90,PBI_LLAMA_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636058,91,PBI_LLAMA_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636059,92,PBI_LLAMA_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636060,93,PBI_LLAMA_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636061,94,PBI_LLAMA_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636062,95,PBI_LLAMA_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636063,96,PBI_LLAMA_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636064,97,PBI_LLAMA_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636065,98,PBI_LLAMA_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636066,99,PBI_LLAMA_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636067,100,PBI_LLAMA_100,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210424,-
1541823,26636068,101,PBI_LLAMA_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636069,102,PBI_LLAMA_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636070,103,PBI_LLAMA_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636071,104,PBI_LLAMA_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636072,105,PBI_LLAMA_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636073,106,PBI_LLAMA_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636074,107,PBI_LLAMA_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541823,26636075,108,PBI_LLAMA_108,-,-,-,-,glycosyltransferase/methyltransferase,protein-coding,-,-,-,glycosyltransferase/methyltransferase,20210424,-
1541823,26636076,109,PBI_LLAMA_109,-,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20201221,-
1541823,26636077,110,PBI_LLAMA_110,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201221,-
1541823,26636078,111,PBI_LLAMA_111,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1541823,26636079,1,PBI_LLAMA_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1541823,26680648,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Llama).,other,-,-,-,-,20200513,-
