#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1541825,22277247,PI26_gp001,PI26_gp001,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200629,-
1541825,22277248,PI26_gt002,PI26_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1541825,22277249,PI26_gp267,PI26_gp267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277250,PI26_gp002,PI26_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1541825,22277251,PI26_gp003,PI26_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277252,PI26_gp004,PI26_gp004,-,-,-,-,topoisomerase II subunit,protein-coding,-,-,-,topoisomerase II subunit,20200629,-
1541825,22277253,PI26_gp005,PI26_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277254,PI26_gp006,PI26_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277255,PI26_gp007,PI26_gp007,-,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20200629,-
1541825,22277256,PI26_gp008,PI26_gp008,-,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20200629,-
1541825,22277257,PI26_gp009,PI26_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277258,PI26_gp010,PI26_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277259,PI26_gp011,PI26_gp011,-,-,-,-,transcription factor MotB,protein-coding,-,-,-,transcription factor MotB,20200629,-
1541825,22277260,PI26_gp012,PI26_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277261,PI26_gp013,PI26_gp013,-,-,-,-,3' to 5' DNA exonuclease,protein-coding,-,-,-,3' to 5' DNA exonuclease,20200629,-
1541825,22277262,PI26_gp014,PI26_gp014,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1541825,22277263,PI26_gp015,PI26_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277264,PI26_gp016,PI26_gp016,-,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20200629,-
1541825,22277265,PI26_gp017,PI26_gp017,-,-,-,-,ModA,protein-coding,-,-,-,ModA,20200629,-
1541825,22277266,PI26_gp018,PI26_gp018,-,-,-,-,ModB,protein-coding,-,-,-,ModB,20200629,-
1541825,22277267,PI26_gp019,PI26_gp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277268,PI26_gp020,PI26_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277269,PI26_gp021,PI26_gp021,-,-,-,-,mrh protein,protein-coding,-,-,-,mrh protein,20200629,-
1541825,22277270,PI26_gp022,PI26_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277271,PI26_gp023,PI26_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277272,PI26_gp024,PI26_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277273,PI26_gp025,PI26_gp025,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20200629,-
1541825,22277274,PI26_gp026,PI26_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277275,PI26_gp027,PI26_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277276,PI26_gp028,PI26_gp028,-,-,-,-,dCTPase,protein-coding,-,-,-,dCTPase,20200629,-
1541825,22277277,PI26_gp029,PI26_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277278,PI26_gp030,PI26_gp030,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200629,-
1541825,22277279,PI26_gp031,PI26_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1541825,22277280,PI26_gp032,PI26_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277281,PI26_gp033,PI26_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277282,PI26_gp034,PI26_gp034,-,-,-,-,spackle,protein-coding,-,-,-,spackle,20200629,-
1541825,22277283,PI26_gp035,PI26_gp035,-,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20200629,-
1541825,22277284,PI26_gp036,PI26_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541825,22277285,PI26_gp037,PI26_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
