#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1551711,26627775,PBI_BIPOLAR_2,PBI_BIPOLAR_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1551711,26627776,PBI_BIPOLAR_3,PBI_BIPOLAR_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1551711,26627777,PBI_BIPOLAR_4,PBI_BIPOLAR_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1551711,26627778,PBI_BIPOLAR_5,PBI_BIPOLAR_5,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1551711,26627779,PBI_BIPOLAR_6,PBI_BIPOLAR_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1551711,26627780,PBI_BIPOLAR_7,PBI_BIPOLAR_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1551711,26627781,PBI_BIPOLAR_8,PBI_BIPOLAR_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1551711,26627782,PBI_BIPOLAR_9,PBI_BIPOLAR_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1551711,26627783,PBI_BIPOLAR_10,PBI_BIPOLAR_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1551711,26627784,PBI_BIPOLAR_11,PBI_BIPOLAR_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1551711,26627785,PBI_BIPOLAR_13,PBI_BIPOLAR_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1551711,26627786,PBI_BIPOLAR_14,PBI_BIPOLAR_14,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1551711,26627787,PBI_BIPOLAR_12,PBI_BIPOLAR_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1551711,26627788,PBI_BIPOLAR_15,PBI_BIPOLAR_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1551711,26627789,PBI_BIPOLAR_16,PBI_BIPOLAR_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1551711,26627790,PBI_BIPOLAR_17,PBI_BIPOLAR_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1551711,26627791,PBI_BIPOLAR_18,PBI_BIPOLAR_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1551711,26627792,PBI_BIPOLAR_19,PBI_BIPOLAR_19,-,-,-,-,D-ala-D-ala-carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala-carboxypeptidase,20201221,-
1551711,26627793,PBI_BIPOLAR_20,PBI_BIPOLAR_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1551711,26627794,PBI_BIPOLAR_21,PBI_BIPOLAR_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1551711,26627795,PBI_BIPOLAR_22,PBI_BIPOLAR_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1551711,26627796,PBI_BIPOLAR_23,PBI_BIPOLAR_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
