#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572704,26640874,AVU40_gp002,AVU40_gp002,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1572704,26640875,AVU40_gp003,AVU40_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640876,AVU40_gp004,AVU40_gp004,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1572704,26640877,AVU40_gp005,AVU40_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640878,AVU40_gp006,AVU40_gp006,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1572704,26640879,AVU40_gp007,AVU40_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640880,AVU40_gp008,AVU40_gp008,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1572704,26640881,AVU40_gp009,AVU40_gp009,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201221,-
1572704,26640882,AVU40_gp010,AVU40_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640883,AVU40_gp011,AVU40_gp011,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1572704,26640884,AVU40_gp012,AVU40_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640885,AVU40_gp013,AVU40_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640886,AVU40_gp014,AVU40_gp014,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1572704,26640887,AVU40_gp015,AVU40_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640888,AVU40_gp016,AVU40_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640889,AVU40_gp017,AVU40_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640890,AVU40_gp018,AVU40_gp018,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
1572704,26640891,AVU40_gp019,AVU40_gp019,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201221,-
1572704,26640892,AVU40_gp020,AVU40_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640893,AVU40_gp021,AVU40_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640894,AVU40_gp022,AVU40_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640895,AVU40_gp023,AVU40_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640896,AVU40_gp024,AVU40_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640897,AVU40_gp025,AVU40_gp025,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1572704,26640898,AVU40_gp026,AVU40_gp026,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201221,-
1572704,26640899,AVU40_gp027,AVU40_gp027,-,-,-,-,tail lysin,protein-coding,-,-,-,tail lysin,20201221,-
1572704,26640900,AVU40_gp028,AVU40_gp028,-,-,-,-,glucosaminidase,protein-coding,-,-,-,glucosaminidase,20201221,-
1572704,26640901,AVU40_gp029,AVU40_gp029,-,-,-,-,lytic transglycosylase,protein-coding,-,-,-,lytic transglycosylase,20201221,-
1572704,26640902,AVU40_gp030,AVU40_gp030,-,-,-,-,amidase,protein-coding,-,-,-,amidase,20201221,-
1572704,26640903,AVU40_gp031,AVU40_gp031,-,-,-,-,endopeptidase,protein-coding,-,-,-,endopeptidase,20201221,-
1572704,26640904,AVU40_gp032,AVU40_gp032,-,-,-,-,chromosome segregation protein,protein-coding,-,-,-,chromosome segregation protein,20201221,-
1572704,26640905,AVU40_gp033,AVU40_gp033,-,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20201221,-
1572704,26640906,AVU40_gp034,AVU40_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640907,AVU40_gp035,AVU40_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640908,AVU40_gp036,AVU40_gp036,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1572704,26640909,AVU40_gp037,AVU40_gp037,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
1572704,26640910,AVU40_gp038,AVU40_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640911,AVU40_gp039,AVU40_gp039,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20201221,-
1572704,26640912,AVU40_gp040,AVU40_gp040,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1572704,26640913,AVU40_gp041,AVU40_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640914,AVU40_gp042,AVU40_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640915,AVU40_gp043,AVU40_gp043,-,-,-,-,methyltransferase subunit G,protein-coding,-,-,-,methyltransferase subunit G,20201221,-
1572704,26640916,AVU40_gp044,AVU40_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572704,26640917,AVU40_gp045,AVU40_gp045,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1572704,26640918,AVU40_gp046,AVU40_gp046,-,-,-,-,Rep protein,protein-coding,-,-,-,Rep protein,20201221,-
