#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1572754,26630850,P694_2,P694_2,-,-,-,-,class II holin,protein-coding,-,-,-,class II holin,20201221,-
1572754,26630851,P694_3,P694_3,-,-,-,-,DNA packaging protein A,protein-coding,-,-,-,DNA packaging protein A,20201221,-
1572754,26630852,P694_4,P694_4,-,-,-,-,endopeptidase Rz,protein-coding,-,-,-,endopeptidase Rz,20201221,-
1572754,26630853,P694_5,P694_5,-,-,-,-,DNA packaging protein,protein-coding,-,-,-,DNA packaging protein,20201221,-
1572754,26630854,P694_6,P694_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572754,26630855,P694_7,P694_7,-,-,-,-,S-adenosyl-L-methionine hydrolase,protein-coding,-,-,-,S-adenosyl-L-methionine hydrolase,20201221,-
1572754,26630856,P694_8,P694_8,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20201221,-
1572754,26630857,P694_9,P694_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572754,26630858,P694_10,P694_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572754,26630859,P694_11,P694_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572754,26630860,P694_12,P694_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572754,26630861,P694_13,P694_13,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20201221,-
1572754,26630862,P694_14,P694_14,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20201221,-
1572754,26630863,P694_15,P694_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1572754,26630864,P694_16,P694_16,-,-,-,-,dGTP triphosphohydrolase inhibitor,protein-coding,-,-,-,dGTP triphosphohydrolase inhibitor,20201221,-
