#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610834,26626910,AVT68_gp46,AVT68_gp46,SU503_45,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1610834,26626911,AVT68_gp45,AVT68_gp45,SU503_44,-,-,-,putative internal core protein,protein-coding,-,-,-,putative internal core protein,20201221,-
1610834,26626912,AVT68_gp34,AVT68_gp34,SU503_33,-,-,-,endonuclease of the HNH familly,protein-coding,-,-,-,endonuclease of the HNH familly,20201221,-
1610834,26626913,AVT68_gp20,AVT68_gp20,SU503_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626914,AVT68_gp43,AVT68_gp43,SU503_42,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20201221,-
1610834,26626915,AVT68_gp49,AVT68_gp49,SU503_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626916,AVT68_gp12,AVT68_gp12,SU503_11,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20201221,-
1610834,26626917,AVT68_gp38,AVT68_gp38,SU503_37,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20201221,-
1610834,26626918,AVT68_gp16,AVT68_gp16,SU503_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626919,AVT68_gp13,AVT68_gp13,SU503_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626920,AVT68_gp40,AVT68_gp40,SU503_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626921,AVT68_gp24,AVT68_gp24,SU503_23,-,-,-,large tegument protein,protein-coding,-,-,-,large tegument protein,20201221,-
1610834,26626922,AVT68_gp30,AVT68_gp30,SU503_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610834,26626923,AVT68_gp47,AVT68_gp47,SU503_46,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20201221,-
1610834,26626924,AVT68_gp39,AVT68_gp39,SU503_38,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
