#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1642663,26645332,AVU20_gp02,AVU20_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1642663,26645333,AVU20_gp03,AVU20_gp03,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1642663,26645334,AVU20_gp04,AVU20_gp04,-,-,-,-,Rz,protein-coding,-,-,-,Rz,20201221,-
1642663,26645335,AVU20_gp05,AVU20_gp05,-,-,-,-,Rz1,protein-coding,-,-,-,Rz1,20201221,-
1642663,26645336,AVU20_gp06,AVU20_gp06,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201221,-
1642663,26645337,AVU20_gp07,AVU20_gp07,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201221,-
1642663,26645338,AVU20_gp08,AVU20_gp08,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1642663,26645339,AVU20_gp09,AVU20_gp09,-,-,-,-,F-like head morphogenesis protein,protein-coding,-,-,-,F-like head morphogenesis protein,20201221,-
1642663,26645340,AVU20_gp10,AVU20_gp10,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1642663,26645341,AVU20_gp11,AVU20_gp11,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1642663,26645342,AVU20_gp12,AVU20_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645343,AVU20_gp13,AVU20_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645344,AVU20_gp14,AVU20_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645345,AVU20_gp15,AVU20_gp15,-,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201221,-
1642663,26645346,AVU20_gp16,AVU20_gp16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1642663,26645347,AVU20_gp17,AVU20_gp17,-,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20201221,-
1642663,26645348,AVU20_gp18,AVU20_gp18,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1642663,26645349,AVU20_gp19,AVU20_gp19,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1642663,26645350,AVU20_gp20,AVU20_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645351,AVU20_gp21,AVU20_gp21,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1642663,26645352,AVU20_gp22,AVU20_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645353,AVU20_gp23,AVU20_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645354,AVU20_gp24,AVU20_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645355,AVU20_gp25,AVU20_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645356,AVU20_gp26,AVU20_gp26,-,-,-,-,central tail hub,protein-coding,-,-,-,central tail hub,20201221,-
1642663,26645357,AVU20_gp27,AVU20_gp27,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1642663,26645358,AVU20_gp28,AVU20_gp28,-,-,-,-,replicative clamp,protein-coding,-,-,-,replicative clamp,20201221,-
1642663,26645359,AVU20_gp29,AVU20_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645360,AVU20_gp30,AVU20_gp30,-,-,-,-,dead box helicase,protein-coding,-,-,-,dead box helicase,20210129,-
1642663,26645361,AVU20_gp31,AVU20_gp31,-,-,-,-,RecB exonuclease,protein-coding,-,-,-,RecB exonuclease,20201221,-
1642663,26645362,AVU20_gp32,AVU20_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645363,AVU20_gp33,AVU20_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645364,AVU20_gp34,AVU20_gp34,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20210116,-
1642663,26645365,AVU20_gp35,AVU20_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645366,AVU20_gp36,AVU20_gp36,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20201221,-
1642663,26645367,AVU20_gp37,AVU20_gp37,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1642663,26645368,AVU20_gp38,AVU20_gp38,-,-,-,-,replicative primase helicase,protein-coding,-,-,-,replicative primase helicase,20201221,-
1642663,26645369,AVU20_gp39,AVU20_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645370,AVU20_gp40,AVU20_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645371,AVU20_gp41,AVU20_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645372,AVU20_gp42,AVU20_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645373,AVU20_gp43,AVU20_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645374,AVU20_gp44,AVU20_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645375,AVU20_gp45,AVU20_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645376,AVU20_gp46,AVU20_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645377,AVU20_gp47,AVU20_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645378,AVU20_gp48,AVU20_gp48,-,-,-,-,Vsr endonuclease,protein-coding,-,-,-,Vsr endonuclease,20201221,-
1642663,26645379,AVU20_gp49,AVU20_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645380,AVU20_gp50,AVU20_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645381,AVU20_gp51,AVU20_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645382,AVU20_gp52,AVU20_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645383,AVU20_gp53,AVU20_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645384,AVU20_gp54,AVU20_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645385,AVU20_gp55,AVU20_gp55,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1642663,26645386,AVU20_gp56,AVU20_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645387,AVU20_gp57,AVU20_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645388,AVU20_gp58,AVU20_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26645389,AVU20_gp01,AVU20_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1642663,26680806,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
