#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647305,26635898,2,AVT48_gp02,SEA_CAMBIARE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210208,-
1647305,26635899,3,AVT48_gp03,SEA_CAMBIARE_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210208,-
1647305,26635900,4,AVT48_gp04,SEA_CAMBIARE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210208,-
1647305,26635901,5,AVT48_gp05,SEA_CAMBIARE_5,-,-,-,capsid maturation protein,protein-coding,-,-,-,capsid maturation protein,20210208,-
1647305,26635902,6,AVT48_gp06,SEA_CAMBIARE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635903,7,AVT48_gp07,SEA_CAMBIARE_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210208,-
1647305,26635904,8,AVT48_gp08,SEA_CAMBIARE_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210208,-
1647305,26635905,9,AVT48_gp09,SEA_CAMBIARE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635906,10,AVT48_gp10,SEA_CAMBIARE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635907,11,AVT48_gp11,SEA_CAMBIARE_11,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210208,-
1647305,26635908,12,AVT48_gp12,SEA_CAMBIARE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635909,13,AVT48_gp13,SEA_CAMBIARE_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210208,-
1647305,26635910,14,AVT48_gp14,SEA_CAMBIARE_14,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210208,-
1647305,26635911,16,AVT48_gp15,SEA_CAMBIARE_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1647305,26635912,17,AVT48_gp17,SEA_CAMBIARE_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210208,-
1647305,26635913,15,AVT48_gp16,SEA_CAMBIARE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210208,-
1647305,26635914,18,AVT48_gp18,SEA_CAMBIARE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635915,19,AVT48_gp19,SEA_CAMBIARE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647305,26635916,20,AVT48_gp20,SEA_CAMBIARE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635917,21,AVT48_gp21,SEA_CAMBIARE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647305,26635918,22,AVT48_gp22,SEA_CAMBIARE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635919,23,AVT48_gp23,SEA_CAMBIARE_23,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20210208,-
1647305,26635920,24,AVT48_gp24,SEA_CAMBIARE_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210208,-
1647305,26635921,25,AVT48_gp25,SEA_CAMBIARE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635922,26,AVT48_gp26,SEA_CAMBIARE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635923,27,AVT48_gp27,SEA_CAMBIARE_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210208,-
1647305,26635924,28,AVT48_gp28,SEA_CAMBIARE_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210208,-
1647305,26635925,29,AVT48_gp29,SEA_CAMBIARE_29,-,-,-,holin,protein-coding,-,-,-,holin,20210208,-
1647305,26635926,30,AVT48_gp30,SEA_CAMBIARE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635927,31,AVT48_gp31,SEA_CAMBIARE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
1647305,26635928,32,AVT48_gp32,SEA_CAMBIARE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
