#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654740,29066914,BRUCELETHAL_2,BRUCELETHAL_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1654740,29066915,BRUCELETHAL_3,BRUCELETHAL_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1654740,29066916,BRUCELETHAL_4,BRUCELETHAL_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1654740,29066917,BRUCELETHAL_5,BRUCELETHAL_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1654740,29066918,BRUCELETHAL_6,BRUCELETHAL_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1654740,29066919,BRUCELETHAL_7,BRUCELETHAL_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1654740,29066920,BRUCELETHAL_8,BRUCELETHAL_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1654740,29066921,BRUCELETHAL_9,BRUCELETHAL_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066922,BRUCELETHAL_10,BRUCELETHAL_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066923,BRUCELETHAL_11,BRUCELETHAL_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1654740,29066924,BRUCELETHAL_13,BRUCELETHAL_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1654740,29066925,BRUCELETHAL_14,BRUCELETHAL_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1654740,29066926,BRUCELETHAL_12,BRUCELETHAL_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1654740,29066927,BRUCELETHAL_15,BRUCELETHAL_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066928,BRUCELETHAL_16,BRUCELETHAL_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066929,BRUCELETHAL_17,BRUCELETHAL_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066930,BRUCELETHAL_18,BRUCELETHAL_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066931,BRUCELETHAL_19,BRUCELETHAL_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1654740,29066932,BRUCELETHAL_20,BRUCELETHAL_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1654740,29066933,BRUCELETHAL_21,BRUCELETHAL_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1654740,29066934,BRUCELETHAL_22,BRUCELETHAL_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066935,BRUCELETHAL_23,BRUCELETHAL_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654740,29066936,BRUCELETHAL_24,BRUCELETHAL_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066937,BRUCELETHAL_25,BRUCELETHAL_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654740,29066938,BRUCELETHAL_26,BRUCELETHAL_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654740,29066939,BRUCELETHAL_27,BRUCELETHAL_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1654740,29066940,BRUCELETHAL_28,BRUCELETHAL_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066941,BRUCELETHAL_29,BRUCELETHAL_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066942,BRUCELETHAL_30,BRUCELETHAL_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1654740,29066943,BRUCELETHAL_31,BRUCELETHAL_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1654740,29066944,BRUCELETHAL_32,BRUCELETHAL_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1654740,29066945,BRUCELETHAL_33,BRUCELETHAL_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1654740,29066946,BRUCELETHAL_34,BRUCELETHAL_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066947,BRUCELETHAL_35,BRUCELETHAL_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066948,BRUCELETHAL_36,BRUCELETHAL_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1654740,29066949,BRUCELETHAL_37,BRUCELETHAL_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066950,BRUCELETHAL_38,BRUCELETHAL_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066951,BRUCELETHAL_39,BRUCELETHAL_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066952,BRUCELETHAL_40,BRUCELETHAL_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654740,29066953,BRUCELETHAL_41,BRUCELETHAL_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
