#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655012,25102533,ATTACNE_2,ATTACNE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655012,25102534,ATTACNE_3,ATTACNE_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655012,25102535,ATTACNE_4,ATTACNE_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655012,25102536,ATTACNE_5,ATTACNE_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655012,25102537,ATTACNE_6,ATTACNE_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655012,25102538,ATTACNE_7,ATTACNE_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655012,25102539,ATTACNE_8,ATTACNE_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655012,25102540,ATTACNE_9,ATTACNE_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102541,ATTACNE_10,ATTACNE_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102542,ATTACNE_11,ATTACNE_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655012,25102543,ATTACNE_13,ATTACNE_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655012,25102544,ATTACNE_14,ATTACNE_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655012,25102545,ATTACNE_12,ATTACNE_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655012,25102546,ATTACNE_15,ATTACNE_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102547,ATTACNE_16,ATTACNE_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102548,ATTACNE_17,ATTACNE_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102549,ATTACNE_18,ATTACNE_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102550,ATTACNE_19,ATTACNE_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655012,25102551,ATTACNE_20,ATTACNE_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655012,25102552,ATTACNE_21,ATTACNE_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655012,25102553,ATTACNE_22,ATTACNE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
