#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655014,25102350,KUBED_2,KUBED_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1655014,25102351,KUBED_3,KUBED_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1655014,25102352,KUBED_4,KUBED_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20200629,-
1655014,25102353,KUBED_5,KUBED_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1655014,25102354,KUBED_6,KUBED_6,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1655014,25102355,KUBED_7,KUBED_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200629,-
1655014,25102356,KUBED_8,KUBED_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200629,-
1655014,25102357,KUBED_9,KUBED_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102358,KUBED_10,KUBED_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102359,KUBED_11,KUBED_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1655014,25102360,KUBED_13,KUBED_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1655014,25102361,KUBED_14,KUBED_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1655014,25102362,KUBED_12,KUBED_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1655014,25102363,KUBED_15,KUBED_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102364,KUBED_16,KUBED_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102365,KUBED_17,KUBED_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102366,KUBED_18,KUBED_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102367,KUBED_19,KUBED_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1655014,25102368,KUBED_20,KUBED_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1655014,25102369,KUBED_21,KUBED_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1655014,25102370,KUBED_22,KUBED_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1655014,25102371,KUBED_23,KUBED_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200629,-
1655014,25102372,KUBED_24,KUBED_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1655014,25102373,KUBED_25,KUBED_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200629,-
1655014,25102374,KUBED_26,KUBED_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
1655014,25102375,KUBED_27,KUBED_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200629,-
1655014,25102376,KUBED_28,KUBED_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1655014,25102377,KUBED_29,KUBED_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1655014,25102378,KUBED_30,KUBED_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1655014,25102379,KUBED_31,KUBED_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200629,-
1655014,25102380,KUBED_32,KUBED_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20200629,-
1655014,25102381,KUBED_33,KUBED_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
1655014,25102382,KUBED_34,KUBED_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1655014,25102383,KUBED_35,KUBED_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
