#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655016,25102625,MRAK_2,MRAK_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655016,25102626,MRAK_3,MRAK_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655016,25102627,MRAK_4,MRAK_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655016,25102628,MRAK_5,MRAK_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655016,25102629,MRAK_6,MRAK_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655016,25102630,MRAK_7,MRAK_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655016,25102631,MRAK_8,MRAK_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655016,25102632,MRAK_9,MRAK_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102633,MRAK_10,MRAK_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102634,MRAK_11,MRAK_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655016,25102635,MRAK_13,MRAK_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655016,25102636,MRAK_14,MRAK_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655016,25102637,MRAK_12,MRAK_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655016,25102638,MRAK_15,MRAK_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102639,MRAK_16,MRAK_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102640,MRAK_17,MRAK_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102641,MRAK_18,MRAK_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102642,MRAK_19,MRAK_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655016,25102643,MRAK_20,MRAK_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655016,25102644,MRAK_21,MRAK_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655016,25102645,MRAK_22,MRAK_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655016,25102646,MRAK_23,MRAK_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
1655016,25102647,MRAK_24,MRAK_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655016,25102648,MRAK_25,MRAK_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655016,25102649,MRAK_26,MRAK_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655016,25102650,MRAK_27,MRAK_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655016,25102651,MRAK_28,MRAK_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655016,25102652,MRAK_29,MRAK_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655016,25102653,MRAK_30,MRAK_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655016,25102654,MRAK_31,MRAK_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655016,25102655,MRAK_33,MRAK_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655016,25102656,MRAK_34,MRAK_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
