#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655022,25102210,STORMBORN_2,STORMBORN_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655022,25102211,STORMBORN_3,STORMBORN_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655022,25102212,STORMBORN_4,STORMBORN_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655022,25102213,STORMBORN_5,STORMBORN_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655022,25102214,STORMBORN_6,STORMBORN_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655022,25102215,STORMBORN_7,STORMBORN_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655022,25102216,STORMBORN_8,STORMBORN_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655022,25102217,STORMBORN_9,STORMBORN_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102218,STORMBORN_10,STORMBORN_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102219,STORMBORN_11,STORMBORN_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655022,25102220,STORMBORN_13,STORMBORN_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655022,25102221,STORMBORN_14,STORMBORN_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655022,25102222,STORMBORN_12,STORMBORN_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655022,25102223,STORMBORN_15,STORMBORN_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102224,STORMBORN_16,STORMBORN_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102225,STORMBORN_17,STORMBORN_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102226,STORMBORN_18,STORMBORN_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102227,STORMBORN_19,STORMBORN_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655022,25102228,STORMBORN_20,STORMBORN_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655022,25102229,STORMBORN_21,STORMBORN_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655022,25102230,STORMBORN_22,STORMBORN_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102231,STORMBORN_23,STORMBORN_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655022,25102232,STORMBORN_24,STORMBORN_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102233,STORMBORN_25,STORMBORN_25,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655022,25102234,STORMBORN_26,STORMBORN_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655022,25102235,STORMBORN_27,STORMBORN_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655022,25102236,STORMBORN_28,STORMBORN_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102237,STORMBORN_29,STORMBORN_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102238,STORMBORN_30,STORMBORN_30,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655022,25102239,STORMBORN_31,STORMBORN_31,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655022,25102240,STORMBORN_32,STORMBORN_32,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655022,25102241,STORMBORN_33,STORMBORN_33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655022,25102242,STORMBORN_34,STORMBORN_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102243,STORMBORN_35,STORMBORN_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102244,STORMBORN_36,STORMBORN_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655022,25102245,STORMBORN_37,STORMBORN_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102246,STORMBORN_38,STORMBORN_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102247,STORMBORN_39,STORMBORN_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102248,STORMBORN_40,STORMBORN_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102249,STORMBORN_41,STORMBORN_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102250,STORMBORN_42,STORMBORN_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102251,STORMBORN_43,STORMBORN_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102252,STORMBORN_44,STORMBORN_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102253,STORMBORN_45,STORMBORN_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655022,25102254,STORMBORN_46,STORMBORN_46,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655022,25102255,STORMBORN_1,STORMBORN_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655022,25147824,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Stormborn).,other,-,-,-,-,20200513,-
