#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673886,26519467,AU098_gp002,AU098_gp002,PBI_APIZIUM_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210123,-
1673886,26519468,AU098_gp003,AU098_gp003,PBI_APIZIUM_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519469,AU098_gp004,AU098_gp004,PBI_APIZIUM_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519470,AU098_gp005,AU098_gp005,PBI_APIZIUM_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519471,AU098_gp006,AU098_gp006,PBI_APIZIUM_6,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210123,-
1673886,26519472,AU098_gp007,AU098_gp007,PBI_APIZIUM_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519473,AU098_gp008,AU098_gp008,PBI_APIZIUM_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1673886,26519474,AU098_gp009,AU098_gp009,PBI_APIZIUM_9,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20200927,-
1673886,26519475,AU098_gp010,AU098_gp010,PBI_APIZIUM_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519476,AU098_gp011,AU098_gp011,PBI_APIZIUM_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1673886,26519477,AU098_gp012,AU098_gp012,PBI_APIZIUM_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519478,AU098_gp013,AU098_gp013,PBI_APIZIUM_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519479,AU098_gp014,AU098_gp014,PBI_APIZIUM_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519480,AU098_gp015,AU098_gp015,PBI_APIZIUM_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519481,AU098_gp016,AU098_gp016,PBI_APIZIUM_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519482,AU098_gp017,AU098_gp017,PBI_APIZIUM_17,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1673886,26519483,AU098_gp018,AU098_gp018,PBI_APIZIUM_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519484,AU098_gp019,AU098_gp019,PBI_APIZIUM_19,-,-,-,queuine-tRNA ribosyltransferase,protein-coding,-,-,-,queuine-tRNA ribosyltransferase,20200927,-
1673886,26519485,AU098_gp020,AU098_gp020,PBI_APIZIUM_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519486,AU098_gp021,AU098_gp021,PBI_APIZIUM_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1673886,26519487,AU098_gp022,AU098_gp022,PBI_APIZIUM_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673886,26519488,AU098_gp023,AU098_gp023,PBI_APIZIUM_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
