#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673889,26637635,PBI_OVECHKIN_2,PBI_OVECHKIN_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1673889,26637636,PBI_OVECHKIN_3,PBI_OVECHKIN_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1673889,26637637,PBI_OVECHKIN_4,PBI_OVECHKIN_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1673889,26637638,PBI_OVECHKIN_5,PBI_OVECHKIN_5,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1673889,26637639,PBI_OVECHKIN_6,PBI_OVECHKIN_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1673889,26637640,PBI_OVECHKIN_7,PBI_OVECHKIN_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1673889,26637641,PBI_OVECHKIN_8,PBI_OVECHKIN_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1673889,26637642,PBI_OVECHKIN_9,PBI_OVECHKIN_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1673889,26637643,PBI_OVECHKIN_10,PBI_OVECHKIN_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1673889,26637644,PBI_OVECHKIN_11,PBI_OVECHKIN_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1673889,26637645,PBI_OVECHKIN_13,PBI_OVECHKIN_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1673889,26637646,PBI_OVECHKIN_14,PBI_OVECHKIN_14,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1673889,26637647,PBI_OVECHKIN_12,PBI_OVECHKIN_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1673889,26637648,PBI_OVECHKIN_15,PBI_OVECHKIN_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1673889,26637649,PBI_OVECHKIN_16,PBI_OVECHKIN_16,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1673889,26637650,PBI_OVECHKIN_17,PBI_OVECHKIN_17,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1673889,26637651,PBI_OVECHKIN_18,PBI_OVECHKIN_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1673889,26637652,PBI_OVECHKIN_19,PBI_OVECHKIN_19,-,-,-,-,D-ala-D-ala carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala carboxypeptidase,20201221,-
1673889,26637653,PBI_OVECHKIN_20,PBI_OVECHKIN_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673889,26637654,PBI_OVECHKIN_21,PBI_OVECHKIN_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673889,26637655,PBI_OVECHKIN_22,PBI_OVECHKIN_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673889,26637656,PBI_OVECHKIN_23,PBI_OVECHKIN_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673889,26637657,PBI_OVECHKIN_24,PBI_OVECHKIN_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673889,26637658,PBI_OVECHKIN_25,PBI_OVECHKIN_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
