#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1674926,26641706,AVT27_gp02,AVT27_gp02,SEA_IZZY_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1674926,26641707,AVT27_gp03,AVT27_gp03,SEA_IZZY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641708,AVT27_gp04,AVT27_gp04,SEA_IZZY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641709,AVT27_gp05,AVT27_gp05,SEA_IZZY_5,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20201221,-
1674926,26641710,AVT27_gp06,AVT27_gp06,SEA_IZZY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641711,AVT27_gp07,AVT27_gp07,SEA_IZZY_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1674926,26641712,AVT27_gp08,AVT27_gp08,SEA_IZZY_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1674926,26641713,AVT27_gp09,AVT27_gp09,SEA_IZZY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641714,AVT27_gp10,AVT27_gp10,SEA_IZZY_10,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1674926,26641715,AVT27_gp11,AVT27_gp11,SEA_IZZY_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1674926,26641716,AVT27_gp12,AVT27_gp12,SEA_IZZY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641717,AVT27_gp13,AVT27_gp13,SEA_IZZY_13,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1674926,26641718,AVT27_gp14,AVT27_gp14,SEA_IZZY_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641719,AVT27_gp15,AVT27_gp15,SEA_IZZY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641720,AVT27_gp16,AVT27_gp16,SEA_IZZY_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641721,AVT27_gp17,AVT27_gp17,SEA_IZZY_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1674926,26641722,AVT27_gp19,AVT27_gp19,SEA_IZZY_19,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1674926,26641723,AVT27_gp18,AVT27_gp18,SEA_IZZY_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1674926,26641724,AVT27_gp20,AVT27_gp20,SEA_IZZY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641725,AVT27_gp21,AVT27_gp21,SEA_IZZY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641726,AVT27_gp22,AVT27_gp22,SEA_IZZY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641727,AVT27_gp23,AVT27_gp23,SEA_IZZY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641728,AVT27_gp24,AVT27_gp24,SEA_IZZY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641729,AVT27_gp25,AVT27_gp25,SEA_IZZY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641730,AVT27_gp26,AVT27_gp26,SEA_IZZY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641731,AVT27_gp27,AVT27_gp27,SEA_IZZY_27,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1674926,26641732,AVT27_gp28,AVT27_gp28,SEA_IZZY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641733,AVT27_gp29,AVT27_gp29,SEA_IZZY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641734,AVT27_gp30,AVT27_gp30,SEA_IZZY_30,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1674926,26641735,AVT27_gp31,AVT27_gp31,SEA_IZZY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641736,AVT27_gp32,AVT27_gp32,SEA_IZZY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641737,AVT27_gp33,AVT27_gp33,SEA_IZZY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641738,AVT27_gp34,AVT27_gp34,SEA_IZZY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641739,AVT27_gp35,AVT27_gp35,SEA_IZZY_35,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1674926,26641740,AVT27_gp36,AVT27_gp36,SEA_IZZY_36,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1674926,26641741,AVT27_gp37,AVT27_gp37,SEA_IZZY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641742,AVT27_gp38,AVT27_gp38,SEA_IZZY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641743,AVT27_gp39,AVT27_gp39,SEA_IZZY_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1674926,26641744,AVT27_gp40,AVT27_gp40,SEA_IZZY_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1674926,26641745,AVT27_gp41,AVT27_gp41,SEA_IZZY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641746,AVT27_gp42,AVT27_gp42,SEA_IZZY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641747,AVT27_gp43,AVT27_gp43,SEA_IZZY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641748,AVT27_gp44,AVT27_gp44,SEA_IZZY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641749,AVT27_gp45,AVT27_gp45,SEA_IZZY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641750,AVT27_gp46,AVT27_gp46,SEA_IZZY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641751,AVT27_gp47,AVT27_gp47,SEA_IZZY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641752,AVT27_gp48,AVT27_gp48,SEA_IZZY_48,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1674926,26641753,AVT27_gp49,AVT27_gp49,SEA_IZZY_49,-,-,-,Lsr2-like protein,protein-coding,-,-,-,Lsr2-like protein,20201221,-
1674926,26641754,AVT27_gp50,AVT27_gp50,SEA_IZZY_50,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
1674926,26641755,AVT27_gp51,AVT27_gp51,SEA_IZZY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641756,AVT27_gp52,AVT27_gp52,SEA_IZZY_52,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20201221,-
1674926,26641757,AVT27_gp53,AVT27_gp53,SEA_IZZY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1674926,26641758,AVT27_gp54,AVT27_gp54,SEA_IZZY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
