#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675598,26624318,AVT25_gp02,AVT25_gp02,CPT_Pavlov2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1675598,26624319,AVT25_gp03,AVT25_gp03,CPT_Pavlov3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624320,AVT25_gp04,AVT25_gp04,CPT_Pavlov4,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1675598,26624321,AVT25_gp05,AVT25_gp05,CPT_Pavlov5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624322,AVT25_gp06,AVT25_gp06,CPT_Pavlov6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624323,AVT25_gp07,AVT25_gp07,CPT_Pavlov7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624324,AVT25_gp08,AVT25_gp08,CPT_Pavlov8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624325,AVT25_gp09,AVT25_gp09,CPT_Pavlov9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624326,AVT25_gp10,AVT25_gp10,CPT_Pavlov10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624327,AVT25_gp11,AVT25_gp11,CPT_Pavlov11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624328,AVT25_gp12,AVT25_gp12,CPT_Pavlov12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624329,AVT25_gp13,AVT25_gp13,CPT_Pavlov13,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20201221,-
1675598,26624330,AVT25_gp14,AVT25_gp14,CPT_Pavlov14,-,-,-,carboxypeptidase A,protein-coding,-,-,-,carboxypeptidase A,20201221,-
1675598,26624331,AVT25_gp15,AVT25_gp15,CPT_Pavlov15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675598,26624332,AVT25_gp16,AVT25_gp16,CPT_Pavlov16,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1675598,26624333,AVT25_gp17,AVT25_gp17,CPT_Pavlov17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
