#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1691955,26641341,AVV10_gp002,AVV10_gp002,OSIRIS_2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1691955,26641342,AVV10_gp003,AVV10_gp003,OSIRIS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641343,AVV10_gp004,AVV10_gp004,OSIRIS_4,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
1691955,26641344,AVV10_gp005,AVV10_gp005,OSIRIS_5,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20200629,-
1691955,26641345,AVV10_gp006,AVV10_gp006,OSIRIS_6,-,-,-,putative minor structural protein,protein-coding,-,-,-,putative minor structural protein,20200629,-
1691955,26641346,AVV10_gp007,AVV10_gp007,OSIRIS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641347,AVV10_gp008,AVV10_gp008,OSIRIS_8,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
1691955,26641348,AVV10_gp009,AVV10_gp009,OSIRIS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1691955,26641349,AVV10_gp010,AVV10_gp010,OSIRIS_10,-,-,-,putative DNA packaging protein,protein-coding,-,-,-,putative DNA packaging protein,20200629,-
1691955,26641350,AVV10_gp011,AVV10_gp011,OSIRIS_11,-,-,-,putative head/tail joining protein,protein-coding,-,-,-,putative head/tail joining protein,20200629,-
1691955,26641351,AVV10_gp012,AVV10_gp012,OSIRIS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
